surface	members	depth	type	type_ru	question_chain	vigraha_iast	bv_resolution	gloss_ru	smooth_ru	note
puruṣavyāghra	puruṣa|vyāghra	2	KD-upamita	кармадхарая (сравнительная)	что?→какой?	puruṣaḥ vyāghraḥ iva		муж, человек|тигр	тигр среди мужей	Сравнительная кармадхарая: голова — образ (vyāghra), сравниваемое — puruṣa. Русская идиома переворачивает порядок.
puruṣarṣabha	puruṣa|ṛṣabha	2	KD-upamita	кармадхарая (сравнительная)	что?→какой?	puruṣaḥ ṛṣabhaḥ iva		муж, человек|бык	бык среди мужей	Та же модель; ṛṣabha — стандартный эпический образ силы, не унижение.
mahātmā	mahat|ātman	2	BV	бахуврихи	что?→какой?	mahān ātmā yasya saḥ	…yasya saḥ — «тот, чей»	великий|дух, сущность, сам	великий духом	Бахуврихи: голова композита — НЕ голова смысла; референт вне состава. Отсюда добавочная ступень «тот, чей».
dharmātmā	dharma|ātman	2	BV	бахуврихи	что?→какой?	dharmaḥ ātmā yasya saḥ	…yasya saḥ — «тот, чей»	дхарма, закон|дух, сущность, сам	тот, чья природа — дхарма	Корпусная глосса ātman «себя» — возвратное употребление; ратифицировано «дух, сущность».
mahāyaśāḥ	mahat|yaśas	2	BV	бахуврихи	что?→какой?	mahat yaśo yasya saḥ	…yasya saḥ — «тот, чей»	великий|слава	тот, чья слава велика	Основа на -as: yaśas, не yaśa.
mahāmanāḥ	mahat|manas	2	BV	бахуврихи	что?→какой?	mahat mano yasya saḥ	…yasya saḥ — «тот, чей»	великий|ум, дух	великодушный	Основа на -as. Русское «великодушный» — калька той же модели.
mahābāho	mahat|bāhu	2	BV	бахуврихи (зват.)	что?→какой?	mahāntau bāhū yasya saḥ, tasya sambodhanam	…yasya saḥ — «тот, чей»	великий|рука	о мощнорукий	Форма — звательный падеж бахуврихи; bāhū стоит в двойственном числе (рук две).
mahābalaḥ	mahat|bala	2	BV	бахуврихи	что?→какой?	mahat balaṃ yasya saḥ	…yasya saḥ — «тот, чей»	великий|сила, мощь	обладающий великой силой	Корпусная глосса bala «войско» — частотный вариант; здесь ратифицировано «сила». Как кармадхарая («великое войско») читается лишь при неодушевлённом референте.
indrāgnī	indra|agni	2	DV	двандва (дв. ч.)	что?→и что ещё?	indraś ca agniś ca		Индра|Агни	Индра и Агни	Двандва: голова НЕ последняя — члены равноправны, лестница здесь только перечисляет. Двойственное число — формальный признак.
daśavarṣasahasrāṇi	daśan|varṣa|sahasra	3	TP-gen + числ.	татпуруша (род.) с числительным	что?→чего?→сколько?	daśa varṣasahasrāṇi		десять|год|тысяча	десять тысяч лет	Трёхчленный: сначала varṣa-sahasra «тысяча лет», затем daśa считает уже эту единицу — скобки [daśa [varṣa-sahasra]].
gosahasraphalaṁ	go|sahasra|phala	3	TP-gen	татпуруша (род.)	что?→чего?→чего?	gavāṃ sahasrasya phalam		корова|тысяча|плод, награда	награда (за дарение) тысячи коров	Скобки [[go-sahasra] phala]: внутренний go-sahasra «тысяча коров», внешний — плод от неё. «За дарение» — из контекста дана-стути, в составе слова нет.
