surface	surface_slp1	depth	freq	band	members	members_ru	ladder_tails	rungs_json
āvantyakhaṇḍe	AvantyaKaRqe	2	230	ядро	āvantya|khaṇḍa	Аванти|брешь	khaṇḍa|āvantya-khaṇḍa	"[{""step"": 1, ""member"": ""khaṇḍa"", ""ru"": ""брешь"", ""ru_variants"": [""брешь"", ""Кханда"", ""из""], ""tail"": ""khaṇḍa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""āvantya"", ""ru"": ""Аванти"", ""ru_variants"": [""Аванти"", ""царь Авантийский"", ""Авантиец""], ""tail"": ""āvantya-khaṇḍa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābalāḥ	mahAbalAH	2	228	ядро	mahat|bala	великий|войско	bala|mahat-bala	"[{""step"": 1, ""member"": ""bala"", ""ru"": ""войско"", ""ru_variants"": [""войско"", ""сила"", ""силой""], ""tail"": ""bala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābalam	mahAbalam	2	227	ядро	mahat|bala	великий|войско	bala|mahat-bala	"[{""step"": 1, ""member"": ""bala"", ""ru"": ""войско"", ""ru_variants"": [""войско"", ""сила"", ""силой""], ""tail"": ""bala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dvijottama	dvijottama	2	210	ядро	dvija|uttama	дваждырожденный|высшее	uttama|dvija-uttama	"[{""step"": 1, ""member"": ""uttama"", ""ru"": ""высшее"", ""ru_variants"": [""высшее"", ""лучший"", ""превосходнейший""], ""tail"": ""uttama"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dvija"", ""ru"": ""дваждырожденный"", ""ru_variants"": [""дваждырожденный"", ""дваждырожденные"", ""дваждырожденных""], ""tail"": ""dvija-uttama"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
prajāpatir	prajApatir	2	201	ядро	prajā|pati	потомство|мужа	pati|prajā-pati	"[{""step"": 1, ""member"": ""pati"", ""ru"": ""мужа"", ""ru_variants"": [""мужа"", ""муж"", ""господин""], ""tail"": ""pati"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""prajā"", ""ru"": ""потомство"", ""ru_variants"": [""потомство"", ""существа"", ""потомством""], ""tail"": ""prajā-pati"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahātejāḥ	mahAtejAH	2	194	ядро	mahat|tejas	великий|блеск	tejas|mahat-tejas	"[{""step"": 1, ""member"": ""tejas"", ""ru"": ""блеск"", ""ru_variants"": [""блеск"", ""жар"", ""блеском""], ""tail"": ""tejas"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-tejas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābāhuḥ	mahAbAhuH	2	189	ядро	mahat|bāhu	великий|руки	bāhu|mahat-bāhu	"[{""step"": 1, ""member"": ""bāhu"", ""ru"": ""руки"", ""ru_variants"": [""руки"", ""руками"", ""рук""], ""tail"": ""bāhu"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bāhu"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
kuladuhitā	kuladuhitA	2	187	ядро	kula|duhitṛ	род|дочь	duhitṛ|kula-duhitṛ	"[{""step"": 1, ""member"": ""duhitṛ"", ""ru"": ""дочь"", ""ru_variants"": [""дочь"", ""дочери"", ""дочерью""], ""tail"": ""duhitṛ"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""kula"", ""ru"": ""род"", ""ru_variants"": [""род"", ""рода"", ""роду""], ""tail"": ""kula-duhitṛ"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
kulaputro	kulaputro	2	187	ядро	kula|putra	род|сын	putra|kula-putra	"[{""step"": 1, ""member"": ""putra"", ""ru"": ""сын"", ""ru_variants"": [""сын"", ""сына"", ""сыновей""], ""tail"": ""putra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""kula"", ""ru"": ""род"", ""ru_variants"": [""род"", ""рода"", ""роду""], ""tail"": ""kula-putra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
bharataśreṣṭha	BarataSrezWa	2	184	ядро	bharata|śreṣṭha	Бхарата|лучший	śreṣṭha|bharata-śreṣṭha	"[{""step"": 1, ""member"": ""śreṣṭha"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""наилучший"", ""лучшее""], ""tail"": ""śreṣṭha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""bharata"", ""ru"": ""Бхарата"", ""ru_variants"": [""Бхарата"", ""Бхараты"", ""Бхарату""], ""tail"": ""bharata-śreṣṭha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
puruṣarṣabha	puruzarzaBa	2	181	ядро	puruṣa|ṛṣabha	человек|бык	ṛṣabha|puruṣa-ṛṣabha	"[{""step"": 1, ""member"": ""ṛṣabha"", ""ru"": ""бык"", ""ru_variants"": [""бык"", ""быка"", ""Ришабха""], ""tail"": ""ṛṣabha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""puruṣa"", ""ru"": ""человек"", ""ru_variants"": [""человек"", ""Пуруша"", ""пуруша""], ""tail"": ""puruṣa-ṛṣabha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāratham	mahAraTam	2	178	ядро	mahat|ratha	великий|колесницу	ratha|mahat-ratha	"[{""step"": 1, ""member"": ""ratha"", ""ru"": ""колесницу"", ""ru_variants"": [""колесницу"", ""колесница"", ""колесницы""], ""tail"": ""ratha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ratha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahādevaṁ	mahAdevaṁ	2	177	ядро	mahat|deva	великий|боги	deva|mahat-deva	"[{""step"": 1, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-deva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāpurāṇe	mahApurARe	2	172	ядро	mahat|purāṇa	великий|древний	purāṇa|mahat-purāṇa	"[{""step"": 1, ""member"": ""purāṇa"", ""ru"": ""древний"", ""ru_variants"": [""древний"", ""пураны"", ""пурана""], ""tail"": ""purāṇa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-purāṇa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmajña	DarmajYa	2	164	ядро	dharma|jña	дхарма|знаю	jña|dharma-jña	"[{""step"": 1, ""member"": ""jña"", ""ru"": ""знаю"", ""ru_variants"": [""знаю"", ""знающий"", ""знает""], ""tail"": ""jña"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-jña"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmarājo	DarmarAjo	2	164	ядро	dharma|rāja	дхарма|царь	rāja|dharma-rāja	"[{""step"": 1, ""member"": ""rāja"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""Царь""], ""tail"": ""rāja"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-rāja"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
ācārakāṇḍe	AcArakARqe	2	164	ядро	ācāra|kāṇḍa	поведение|книг	kāṇḍa|ācāra-kāṇḍa	"[{""step"": 1, ""member"": ""kāṇḍa"", ""ru"": ""книг"", ""ru_variants"": [""книг"", ""отрезок"", ""раздела""], ""tail"": ""kāṇḍa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""ācāra"", ""ru"": ""поведение"", ""ru_variants"": [""поведение"", ""благонравия"", ""образ жизни""], ""tail"": ""ācāra-kāṇḍa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śrīgāruḍe	SrIgAruqe	2	164	ядро	śrī|gāruḍa	Шри|Гаруды	gāruḍa|śrī-gāruḍa	"[{""step"": 1, ""member"": ""gāruḍa"", ""ru"": ""Гаруды"", ""ru_variants"": [""Гаруды""], ""tail"": ""gāruḍa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śrī"", ""ru"": ""Шри"", ""ru_variants"": [""Шри"", ""богатство"", ""счастье""], ""tail"": ""śrī-gāruḍa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
saptāhaṁ	saptAhaṁ	2	162	ядро	saptan|aha	семь|дни	aha|saptan-aha	"[{""step"": 1, ""member"": ""aha"", ""ru"": ""дни"", ""ru_variants"": [""дни"", ""я"", ""дней""], ""tail"": ""aha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""saptan"", ""ru"": ""семь"", ""ru_variants"": [""семь"", ""семью"", ""семеро""], ""tail"": ""saptan-aha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
tridinaṁ	tridinaṁ	2	159	ядро	tri|dina	три|день	dina|tri-dina	"[{""step"": 1, ""member"": ""dina"", ""ru"": ""день"", ""ru_variants"": [""день"", ""дней"", ""дни""], ""tail"": ""dina"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""tri"", ""ru"": ""три"", ""ru_variants"": [""три"", ""тремя"", ""трех""], ""tail"": ""tri-dina"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahītale	mahItale	2	155	ядро	mahī|tala	землю|на	tala|mahī-tala	"[{""step"": 1, ""member"": ""tala"", ""ru"": ""на"", ""ru_variants"": [""на"", ""ладонью"", ""поверхность""], ""tail"": ""tala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahī"", ""ru"": ""землю"", ""ru_variants"": [""землю"", ""земля"", ""великая""], ""tail"": ""mahī-tala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāhave	mahAhave	2	149	ядро	mahat|āhava	великий|в сражении	āhava|mahat-āhava	"[{""step"": 1, ""member"": ""āhava"", ""ru"": ""в сражении"", ""ru_variants"": [""в сражении"", ""в битве"", ""в бою""], ""tail"": ""āhava"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-āhava"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahādevo	mahAdevo	2	148	ядро	mahat|deva	великий|боги	deva|mahat-deva	"[{""step"": 1, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-deva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
puruṣavyāghra	puruzavyAGra	2	147	ядро	puruṣa|vyāghra	человек|тигр	vyāghra|puruṣa-vyāghra	"[{""step"": 1, ""member"": ""vyāghra"", ""ru"": ""тигр"", ""ru_variants"": [""тигр"", ""тигры"", ""тигра""], ""tail"": ""vyāghra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""puruṣa"", ""ru"": ""человек"", ""ru_variants"": [""человек"", ""Пуруша"", ""пуруша""], ""tail"": ""puruṣa-vyāghra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
deveśa	deveSa	2	146	ядро	deva|īśa	боги|владыка	īśa|deva-īśa	"[{""step"": 1, ""member"": ""īśa"", ""ru"": ""владыка"", ""ru_variants"": [""владыка"", ""владыку"", ""Владыка""], ""tail"": ""īśa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva-īśa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāmanāḥ	mahAmanAH	2	143	ядро	mahat|manas	великий|ум	manas|mahat-manas	"[{""step"": 1, ""member"": ""manas"", ""ru"": ""ум"", ""ru_variants"": [""ум"", ""разум"", ""сердце""], ""tail"": ""manas"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-manas"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmabhṛtāṁ	DarmaBftAṁ	2	141	ядро	dharma|bhṛt	дхарма|Лучшему	bhṛt|dharma-bhṛt	"[{""step"": 1, ""member"": ""bhṛt"", ""ru"": ""Лучшему"", ""ru_variants"": [""Лучшему"", ""имеющий"", ""людские""], ""tail"": ""bhṛt"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-bhṛt"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
saptavāraṁ	saptavAraṁ	2	140	ядро	saptan|vāra	семь|сито	vāra|saptan-vāra	"[{""step"": 1, ""member"": ""vāra"", ""ru"": ""сито"", ""ru_variants"": [""сито"", ""сите"", ""в сите""], ""tail"": ""vāra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""saptan"", ""ru"": ""семь"", ""ru_variants"": [""семь"", ""семью"", ""семеро""], ""tail"": ""saptan-vāra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahādeva	mahAdeva	2	135	ядро	mahat|deva	великий|боги	deva|mahat-deva	"[{""step"": 1, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-deva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāprājña	mahAprAjYa	2	134	ядро	mahat|prājña	великий|мудрый	prājña|mahat-prājña	"[{""step"": 1, ""member"": ""prājña"", ""ru"": ""мудрый"", ""ru_variants"": [""мудрый"", ""мудрые"", ""мудр""], ""tail"": ""prājña"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-prājña"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
naravyāghra	naravyAGra	2	132	ядро	nara|vyāghra	человек|тигр	vyāghra|nara-vyāghra	"[{""step"": 1, ""member"": ""vyāghra"", ""ru"": ""тигр"", ""ru_variants"": [""тигр"", ""тигры"", ""тигра""], ""tail"": ""vyāghra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""nara"", ""ru"": ""человек"", ""ru_variants"": [""человек"", ""мужи"", ""люди""], ""tail"": ""nara-vyāghra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
naraśreṣṭha	naraSrezWa	2	128	ядро	nara|śreṣṭha	человек|лучший	śreṣṭha|nara-śreṣṭha	"[{""step"": 1, ""member"": ""śreṣṭha"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""наилучший"", ""лучшее""], ""tail"": ""śreṣṭha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""nara"", ""ru"": ""человек"", ""ru_variants"": [""человек"", ""мужи"", ""люди""], ""tail"": ""nara-śreṣṭha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahādevaḥ	mahAdevaH	2	127	ядро	mahat|deva	великий|боги	deva|mahat-deva	"[{""step"": 1, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-deva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
