compound_id	compound_lemma	head_case	head_gender	head_number	pass_A_opus	pass_B_sonnet	agree_7way	A_leitan5	B_leitan5	agree_leitan5
cpd:020	nīlotpala-dala-śyāma	Acc	Masc	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:021	kṛta-yuga	Acc	Neut	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:022	puṣpa-kaṇṭaka-dhārin	Nom	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:023	vinda-anuvinda	Nom	Masc	Dual	dvandva	dvandva	=	dvandva	dvandva	=
cpd:024	mahat-bala	Nom	Masc	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:025	puṣpabhūti-mukhara-vaṃśa	Nom	Masc	Dual	karmadharaya	tatpurusha	≠	tatpurusha	tatpurusha	=
cpd:026	śukla-eka-vāsas	Nom	Masc	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:027	adhyāya-anuvāka	Gen	Masc	Dual	dvandva	dvandva	=	dvandva	dvandva	=
cpd:028	ārecita-bhrū-catura	Ins	Masc	Plur	tatpurusha	bahuvrihi	≠	tatpurusha	bahuvrihi	≠
cpd:029	yama-kāṣṭhā	Loc	Fem	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:030	āgamana-anubandha	Acc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:031	sarpa-mārjāra-nakula-śvan-sūkara-vadha	Loc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:032	pratiṣedha-ukti	Nom	Fem	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:033	alpa-āyus	Nom	Neut	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:034	mokṣa-dharma	Acc	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:035	varṣa-śata	Ins	Neut	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:036	aghora-hṛdaya	Acc	Masc	Sing	karmadharaya	bahuvrihi	≠	tatpurusha	bahuvrihi	≠
cpd:037	bhūta-pati	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:038	śatru-nāśa	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:039	sva-pura	Acc	Neut	Sing	karmadharaya	tatpurusha	≠	tatpurusha	tatpurusha	=
cpd:040	sacola-draviḍa-andhaka	Acc	Masc	Plur	dvandva	bahuvrihi	≠	dvandva	bahuvrihi	≠
cpd:041	deva-sainya	Nom	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:042	deva-gaṇa	Nom	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:043	mainda-dvivida-nīla	Nom	Masc	Plur	dvandva	dvandva	=	dvandva	dvandva	=
cpd:044	āśrama-vāsin	Acc	Masc	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:045	ailavila-saṃjñita	Acc	Fem	Sing	tatpurusha	karmadharaya	≠	tatpurusha	tatpurusha	=
cpd:046	amitra-karśin	Gen	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:047	makara-ālaya	Acc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:048	agni-saṃkāśa	Acc	Masc	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:049	mahāmātra-vara	Ins	Masc	Plur	tatpurusha	karmadharaya	≠	tatpurusha	tatpurusha	=
cpd:050	gadā-hasta	Nom	Masc	Dual	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:051	dharmarāja-puroga	Nom	Masc	Plur	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:052	kuru-nandana	Voc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:053	vāsava-priya	Acc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:054	bhūta-saṃgha-śata	Ins	Neut	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:055	duḥkha-bhāj	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:056	ari-karśana	Voc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:057	rudhira-udaka	Nom	Neut	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:058	tanmātra-kṛ-adhikāra	Nom	Masc	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:059	muni-sattama	Voc	Masc	Plur	tatpurusha	karmadharaya	≠	tatpurusha	tatpurusha	=
cpd:060	sūrya-dina	Loc	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:061	vṛtti-kṛt	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:062	jṛ-rasa	Gen	Masc	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:063	deva-manuṣya-ādi	Gen	Masc	Plur	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:064	tri-kalpa	Loc	Masc	Sing	dvigu	dvigu	=	tatpurusha	tatpurusha	=
cpd:065	lakuca-ambu	Ins	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:066	tulya-bhāga	Nom	Masc	Plur	bahuvrihi	karmadharaya	≠	bahuvrihi	tatpurusha	≠
cpd:067	prakaṭa-mūṣā	Loc	Fem	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:068	pūrva-tulyaka	Acc	Masc	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:069	snuhī-kṣīra	Ins	Neut	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:070	anaikāntika-tva	Abl	Neut	Sing	unclear	tatpurusha	≠	kevala	tatpurusha	≠
cpd:071	mala-pravṛtti	Nom	Fem	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:072	heman-vajra-ādi-bhūnāga-sattva	Ins	Neut	Plur	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:073	keśa-śauklya	Nom	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:074	kāla-sadṛśa	Acc	Neut	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:075	sva-gṛha	Loc	Masc	Sing	karmadharaya	tatpurusha	≠	tatpurusha	tatpurusha	=
cpd:076	vālin-putra	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:077	raukṣya-lāghava-ādi-kara	Nom	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:078	mārga-praveka	Ins	Masc	Sing	tatpurusha	karmadharaya	≠	tatpurusha	tatpurusha	=
cpd:079	anna-dāna	Ins	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:080	vṛddhipattra-nakhaśastra-mudrikā-utpalapattraka-ardhadhāra	Nom	Neut	Plur	dvandva	bahuvrihi	≠	dvandva	bahuvrihi	≠
cpd:081	bhiṣaj-ādi	Gen	Masc	Plur	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:082	spandana-vivartana-sparśa-asahiṣṇu-tva	Nom	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:083	bhramara-añjana-nibha	Nom	Masc	Plur	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:084	yaṣṭimadhukā-miśra	Ins	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:085	dhana-karṣaṇa	Nom	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:086	soma-pītha	Ins	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:087	nirvapaṇa-kāla	Loc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:088	vara-da	Nom	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:089	dhyāna-bhaṅga	Acc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:090	nāka-pṛṣṭha-gamana	Nom	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:091	putra-artha	Loc	Masc	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:092	alpa-sāra	Ins	Masc	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:093	caraṇa-madhya-gam-bhū	Acc	Masc	Sing	bahuvrihi	bahuvrihi	=	bahuvrihi	bahuvrihi	=
cpd:094	paraspara-artha-tva	Abl	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:095	kṣīra-aṅkola-taila	Ins	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:096	siddha-cakra	Acc	Neut	Sing	karmadharaya	tatpurusha	≠	tatpurusha	tatpurusha	=
cpd:097	ṣaṣṭi-puṭa	Nom	Neut	Plur	dvigu	dvigu	=	tatpurusha	tatpurusha	=
cpd:098	uda-pātra	Loc	Neut	Sing	tatpurusha	tatpurusha	=	tatpurusha	tatpurusha	=
cpd:099	śrī-pāka	Acc	Masc	Sing	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
cpd:100	śubha-graha	Gen	Masc	Plur	karmadharaya	karmadharaya	=	tatpurusha	tatpurusha	=
