pass	cpd_token_id	coarse	fine	vigraha	rationale
A	1524910	tatpurusa	karmadharaya	pūrvaṃ janma	Temporal adjective pūrva (former) qualifies janman, same case → karmadhāraya (previous birth).
A	5253413	tatpurusa	tat-sasthi	ṣoḍaśinaḥ pātram	Cup of/for the Ṣoḍaśin graha, genitive → ṣaṣṭhī.
A	3621502	tatpurusa	tat-sasthi	dinānāṃ trayam	Collective traya as head with partitive genitive → ṣaṣṭhī (not dvigu: collective is head, not member1).
A	425799	bahuvrihi	n/a	madirā ādir yeṣāṃ tāni, taiḥ	X-ādi possessive: 'those (substances) of which liquor is the first' — refers to an external group (liquor etc.).
A	5573463	bahuvrihi	n/a	puravo vājā yāsāṃ tāḥ (ūtayaḥ)	Qualifies ūtī 'aids' as 'rich in many prizes'; head vāja carries fem gender-shift to the external referent — possessive.
A	1101766	tatpurusa	tat-sasthi	nṛpasya bhāvaḥ	-tva abstract (tasya bhāvaḥ); determinative with genitive-bhāva relation 'kingship'.
A	2015095	tatpurusa	tat-sasthi	munīnāṃ śreṣṭhaḥ	Partitive-genitive superlative 'best among sages'.
A	837727	tatpurusa	upapada	kaṇṭhe tiṣṭhatīti (kaṇṭhasthaḥ)	Head -stha is a kṛt (√sthā, parallel to codebook -ga); member1 kaṇṭha is its locus-argument — upapada.
A	230412	bahuvrihi	n/a	hutaṃ bhāgo yeṣāṃ te	Epithet of the addressed beings (ye ... stha): 'those who have a share of the oblation' — possessive/exocentric.
A	3902857	tatpurusa	karmadharaya	dṛḍhaś cāsau agniś ca	Adjective + noun in the same case: 'intense fire'.
A	1083581	tatpurusa	karmadharaya	mahān mantraḥ	mahā-(mahat) adjective + noun apposition: 'great mantra'.
A	2909651	tatpurusa	tat-sasthi	cāturāśramyasya dharmāḥ	Genitive: 'the duties of the four-āśrama system'.
A	1143673	tatpurusa	tat-saptami	jaṭhare rogī	rogin is taddhita (roga+in), not kṛt; locative disease-locus 'diseased in the belly'.
A	1968519	tatpurusa	tat-sasthi	nārīṇāṃ kulam	Genitive: 'multitude of women'.
A	2860433	tatpurusa	tat-trtiya	kālena sṛṣṭaḥ	p.p.p. sṛṣṭa with instrumental agent: 'sent forth/created by Time'.
A	3258050	tatpurusa	upapada	dhanaṃ dadātīti	Agentive kṛt -da (√dā) with object dhana: 'wealth-giver' (cf. kumbha-kāra).
A	435053	tatpurusa	upapada	bahu jānātīti	Agentive kṛt jña (√jñā) with object bahu: 'one who knows much'.
A	4387657	tatpurusa	tat-other	draṣṭuṃ kāmyā (icchā)	tumun-infinitive + kāmyā special compound 'desire to see'; head-dominant but no nominal vibhakti fits.
A	5066761	tatpurusa	tat-trtiya	vastreṇa rodhitam	Causative p.p.p. rodhita with instrument vastra: 'covered by cloth'.
A	1526107	bahuvrihi	n/a	kṣato deho yasya saḥ	Describes the king (external referent), 'one whose body is (un)wounded' — possessive, not the body itself.
A	620746	tatpurusa	tat-sasthi	sutasya vātsalyam	Object-genitive: 'affection for the son'.
A	3800550	tatpurusa	tat-saptami	svāmini bhaktaḥ	p.p.p. bhakta 'devoted/attached to the master' — locative object of devotion.
A	2577022	tatpurusa	tat-dvitiya	antaṃ gatam	p.p.p. gata with accusative goal 'gone to the end' — direct codebook parallel to grāma-gata.
A	2796047	bahuvrihi	n/a	naṣṭa ādityo yasmin (āhave)	Describes the battle 'in which the sun has vanished' — locative-possessive exocentric.
A	674408	tatpurusa	upapada	āyurvedaṃ vettīti	Agentive root-noun -vid (√vid) with object āyurveda: 'knower of Ayurveda'.
A	5577123	bahuvrihi	n/a	kṣatraṃ śrīr yasya saḥ	Epithet of Pratardani; śrī (lex. fem) carries masc gender-shift to the referent — 'one whose glory is dominion'.
A	4058253	tatpurusa	karmadharaya	puruṣaḥ ṛṣabha iva (śreṣṭhaḥ)	Upamita-samāsa/simile 'a bull among men' — samānādhikaraṇa (vyāghrādi type).
A	3069815	tatpurusa	upapada	anyonyaṃ prayojayantīti	Agentive kṛt -aka (prayojaka) with reciprocal object anyonya: 'instigating one another'.
A	4748445	bahuvrihi	n/a	pañcaviṃśatiḥ anto yasya tat	Describes jñeyarūpa 'that whose limit is twenty-five'; neut gender-shift from masc anta — possessive, not a dvigu set.
A	1090928	bahuvrihi	n/a	catvāraḥ bhujā yasyāḥ sā	Epithet of the goddess 'four-armed'; numeral+noun denoting the possessor (fem voc), not a set — possessive.
A	2229072	tatpurusa	tat-sasthi	yādavānāṃ vāhinī	Genitive: 'army of the Yādavas'.
A	2526598	tatpurusa	karmadharaya	candra iva śubhraḥ	Simile karmadhāraya 'white as the moon' — direct parallel to codebook megha-śyāma.
A	3837785	tatpurusa	tat-saptami	jaṭhare ujjvalā	Locative: 'blazing in the belly/interior'.
A	1074010	tatpurusa	tat-caturthi	ārādhanāya (idam), ārādhana-artham	X-artha purpose compound 'for the sake of worship' — codebook assigns artha to caturthī.
A	1935348	tatpurusa	tat-saptami	pārśve avalambitā	Causative p.p.p. avalambita with locative: 'hung/resting at the side'.
A	3474368	tatpurusa	tat-sasthi	abhiṣavasya yogaḥ	Genitive: 'the application/process of pressing (extraction)'.
A	461473	tatpurusa	tat-sasthi	caroḥ kalpaḥ	Genitive: 'the ritual procedure of the caru oblation'.
A	3893848	bahuvrihi	n/a	gaganam ādir yeṣāṃ tāni	X-ādika possessive 'those beginning with gagana(mica)' — external group referent (parallel to madirā-ādi).
A	3608520	tatpurusa	tat-sasthi	antarātmanaḥ vittiḥ	Objective genitive with action-noun vitti (-ti, not agentive): 'perception of the inner self'.
A	1756061	unclear	n/a	(none — sandhi artifact)	parikramya (absolutive) + āhavanīyasya (gen.) are separate words falsely joined by sandhi; not a genuine compound.
A	3576330	bahuvrihi	n/a	āḥkāraḥ anto yasya tat	Describes a word 'ending in the sound āḥ'; neut gender-shift from masc anta — possessive.
A	4512443	tatpurusa	karmadharaya	sarve prāṇinaḥ	sarva (sarvanāma adjective) + noun in the same case: 'all living beings'.
A	715469	tatpurusa	tat-sasthi	ajasya mūtram	Head mūtra (urine) dominant; member1 aja (goat) genitive to it — 'urine of a goat'. Vyadhikaraṇa ṣaṣṭhī-tatpuruṣa; external Ins ignored.
A	2526520	tatpurusa	upapada	kulaṃ vardhayatīti	Agentive kṛt -in (vardhin, √vṛdh) with object kula: 'increasing the family'.
A	4889759	tatpurusa	tat-sasthi	jayasya śabdāḥ	Shouts of/proclaiming victory; genitive, jaya = content of the śabda.
A	2373894	tatpurusa	tat-sasthi	nagasya mātram	Measure-compound 'mountain-sized'; -mātra determinative, genitive of measure.
A	1227045	tatpurusa	karmadharaya	śrīḥ (ca sa) bhagavān	Honorific śrī + Lord in apposition, same case (samānādhikaraṇa).
A	3529054	tatpurusa	tat-other	anyasya bhāvaḥ	-tva taddhita abstract ('otherness'); head is the abstract suffix, no vibhakti fits.
A	2383437	tatpurusa	upapada	dehaṃ nāśayati	Head nāśin is a kṛt -in agent; member1 deha is its direct object.
A	3579374	dvandva	n/a	laukikāḥ ca parīkṣakāḥ ca	Nyāyasūtra def.: agreement between ordinary people AND expert examiners — two coordinate groups.
A	4807016	tatpurusa	tat-saptami	kaṇṭhe saktam	Fastened at the neck; locative relation of member1 to the participle head.
A	4563378	dvandva	n/a	japaḥ ca homaḥ ca	Two ritual acts (muttering and oblation) coordinated.
A	2498784	tatpurusa	tat-sasthi	saubhasya dvāram	Gate of Saubha (the flying city); genitive.
A	3937001	tatpurusa	upapada	jvaraṃ nāśayati	Head nāśin (kṛt -in agent) with object jvara; the herb is the fever-destroyer.
A	3170303	tatpurusa	tat-sasthi	śakrasya vākyam	Indra's command/word; genitive.
A	3425505	tatpurusa	upapada	pattraṃ bhuṅkte	Head bhuj (kṛt root-noun agent 'eater') with object pattra; leaf-eater ascetic.
A	3043701	tatpurusa	upapada	sukham anveṣate	Head anveṣin (kṛt -in agent) with object sukha; comfort-seeking.
A	3138448	tatpurusa	tat-sasthi	apasmāriṇāṃ kulam	Family of epileptics; X-kula → genitive ('born in an epileptic family').
A	4229735	tatpurusa	tat-sasthi	devānāṃ kāryāṇi	Duties/affairs of the gods; genitive (divine rites Sītā performs).
A	633462	tatpurusa	upapada	rādhāṃ bhinatti	Head bhettṛ (kṛt -tṛ agent) with object rādhā (the revolving archery target).
A	3033840	tatpurusa	tat-saptami	vaśe vartate	Abides in [another's] power; intransitive vart takes locative vaśa, not an object.
A	4222726	dvandva	n/a	devāḥ ca rakṣāṃsi ca	Gods and demons (a battle 'of gods and demons'); coordinate.
A	4124260	bahuvrihi	n/a	varam ānanaṃ yasyāḥ (sā)	Exocentric: 'O fair-faced one' — refers to the woman (Voc Fem) not the Neut head ānana.
A	5060688	tatpurusa	karmadharaya	hīnaṃ sakhyam	Base/low friendship; adj+noun, parallel to hīna-yoni in the same verse.
A	1164340	tatpurusa	karmadharaya	eko deśaḥ	A single place/part; numeral 'one' as adjective, no collective sense → karmadhāraya not dvigu.
A	267757	tatpurusa	tat-sasthi	kulasya putraḥ	Son of a (good) family (kulaputra); genitive.
A	3700798	tatpurusa	tat-sasthi	puṭanasya auṣadham	Drug/herb for the puṭa-roasting process; genitive determinative.
A	3450150	bahuvrihi	n/a	aṣṭau cakrāṇi yasya (yānasya)	Modifies yāna: the vehicle HAS eight wheels — possessive/exocentric, not a set.
A	2332793	tatpurusa	tat-sasthi	kuśasya agram	Tip of the kuśa grass; genitive.
A	858576	tatpurusa	tat-sasthi	puṣkarasya mūlam	Root of puṣkara (a medicinal root); genitive.
A	4762626	tatpurusa	tat-sasthi	amarāvatyāḥ kendram	Centre of Amarāvatī; genitive.
A	1297016	tatpurusa	tat-sasthi	tālānāṃ vanam	Grove consisting of palm trees; genitive.
A	5530319	tatpurusa	karmadharaya	jīraṃ dānu	Vedic, obscure: 'swift/lively liquid-gift'; member1 adj jīra qualifies dānu, same case.
A	5256416	tatpurusa	tat-sasthi	sūryasya ātapaḥ	The sun's heat (warded off by a parasol); genitive.
A	914499	tatpurusa	tat-sasthi	malasya pravṛttiḥ	Passing/discharge of stool; genitive (medical sign).
A	4711292	tatpurusa	tat-sasthi	devānāṃ heḍanam	Offending of the gods; object-in-genitive with -ana action noun (Pāṇ. 2.3.65).
A	437787	dvandva	n/a	patnī ca yajamānaś ca	Dual patnī-yajamānau + 'and the priests' → wife and sacrificer, coordinate.
A	418141	tatpurusa	karmadharaya	padmasyeva ābhā	Lotus-like (face); upamāna/simile comparison compound (cf. codebook megha-śyāma).
A	4005952	bahuvrihi	n/a	viṣaṇṇaṃ vadanaṃ yasya (saḥ)	Exocentric: 'he whose face is dejected' — Masc referent vs Neut head vadana.
A	625895	tatpurusa	tat-saptami	saudhe sthā (tiṣṭhati)	Standing/situated in the palace; locative relation, she is the 'stha'.
A	269319	tatpurusa	tat-sasthi	kulasya duhitā	Daughter of a (good) family (kuladuhitṛ); genitive, parallel to kulaputra.
A	5358591	tatpurusa	tat-other	śatadhā vitṛṇṇaḥ	'Pierced a hundredfold'; numeral adverbially modifies a participle head — no clean vibhakti, head not a noun so not dvigu.
A	2030473	tatpurusa	tat-other	piśācasya bhāvaḥ	-tva taddhita abstract ('state of being a piśāca'); no vibhakti fits.
A	2694673	bahuvrihi	n/a	ayaḥ haste yeṣām (te)	Exocentric: warriors 'with iron in their hands'; parallel śūla-hasta, refers to external possessors.
B	873010	tatpurusa	upapada	śoṇitaṃ vahantīḥ (nāḍyaḥ)	head vāhin is a kṛt agent noun from vah; śoṇita is its accusative object → upapada.
B	1667053	tatpurusa	karmadharaya	mahatī bhūmiḥ	adjective mahat and noun bhūmi share case, simple attribution → karmadharaya.
B	557709	bahuvrihi	n/a	āttaś cāpo yena saḥ	ppp+noun describes an external referent (the bow-wielder), not the bow itself → bahuvrihi.
B	3952819	tatpurusa	upapada	pramehaṃ jayati (yaḥ)	head jit is a kṛt agent noun from ji; prameha is its accusative object → upapada, matches codebook example.
B	1385811	tatpurusa	tat-sasthi	nādasya bandhaḥ	bandha (action noun) construed with genitive complement nāda, naming a yogic technique → tat-sasthi.
B	1274659	tatpurusa	karmadharaya	mahāntaḥ kratavaḥ	adjective mahat agrees in case with kratu → karmadharaya.
B	1542869	tatpurusa	karmadharaya	etad eva arthaḥ	demonstrative etad functions as a case-agreeing determiner of artha → karmadharaya.
B	5142317	tatpurusa	karmadharaya	sarve vajraudanāḥ	pronominal adjective sarva agrees in case with vajraudana → karmadharaya.
B	2344141	tatpurusa	karmadharaya	svaṃ rājyam	reflexive adjective sva agrees in case with rājya → karmadharaya.
B	1709274	tatpurusa	karmadharaya	anye viṣayāḥ	antara 'other' functions as a case-agreeing adjective on viṣaya → karmadharaya.
B	3108120	tatpurusa	tat-sasthi	puruṣāṇāṃ sattamaḥ	superlative sattama takes the genitive-plural sense of the compared group → tat-sasthi.
B	315541	dvandva	n/a	namaś ca puras ca (tayoḥ)	sutra cites two coordinate particles namas and puras jointly → dvandva.
B	4225338	tatpurusa	tat-trtiya	balena uddhataḥ	past participle uddhata takes instrumental cause bala → tat-trtiya.
B	953549	tatpurusa	tat-trtiya	bhavatā uktam	passive participle ukta takes instrumental agent bhavat → tat-trtiya.
B	2223507	tatpurusa	tat-sasthi	kāmānāṃ sevanāt	action noun sevana (from sev) takes genitive object kāma per karmaṇi-ṣaṣṭhī rule → tat-sasthi.
B	4184387	bahuvrihi	n/a	āgato roṣo yayoḥ tau	describes the two armies/combatants by a possessed attribute (arisen anger), an external referent → bahuvrihi.
B	3557900	tatpurusa	karmadharaya	viśiṣṭā guṇāḥ	participle viśiṣṭa agrees in case with guṇa, simple attribution → karmadharaya.
B	1038197	tatpurusa	karmadharaya	nandanam eva vanam	proper name nandana in apposition with generic noun vana, same case → karmadharaya.
B	1419442	tatpurusa	tat-sasthi	śyenānāṃ madhye	head madhya takes genitive complement śyena, 'the midst of' relation → tat-sasthi.
B	3999454	tatpurusa	tat-sasthi	varṣāṇāṃ sahasrāṇi	collective numeral sahasra (head) takes genitive complement varṣa; member1 itself is not the numeral, so not dvigu → tat-sasthi.
B	4223484	tatpurusa	tat-sasthi	yojanānāṃ śatam	collective numeral śata (head) takes genitive complement yojana, same pattern as varṣa-sahasra → tat-sasthi.
B	4021123	tatpurusa	tat-trtiya	śokena saṃtaptam	past participle saṃtapta takes instrumental cause śoka → tat-trtiya.
B	4852385	dvandva	n/a	sac ca asac ca	coordinate pairing of being and non-being → dvandva.
B	4494697	dvandva	n/a	tīkṣṇaṃ ca uṣṇaṃ ca	two coordinate qualities listed together describing a substance (Āyurvedic guṇa-dvandva) → dvandva.
B	692207	tatpurusa	tat-trtiya	vedena proktaiḥ	passive participle prokta takes instrumental agent veda → tat-trtiya.
B	1725575	tatpurusa	tat-sasthi	adhikṣepasya vacanam	action noun vacana (from vac) takes genitive object adhikṣepa → tat-sasthi.
B	1939324	tatpurusa	karmadharaya	ajalam eva padam	generic noun pada names/stands in apposition with ajala, same case → karmadharaya.
B	2806856	tatpurusa	upapada	vijayam āvahati (yaḥ)	head āvaha is a kṛt agent adjective from ā-vah; vijaya is its accusative object → upapada.
B	4640759	tatpurusa	dvigu	ṣaṇṇāṃ manūnām	member1 ṣaṣ is a numeral quantifying head manu as a defined set → dvigu.
B	2271386	tatpurusa	tat-sasthi	kurūṇāṃ śreṣṭhaḥ	superlative śreṣṭha takes the genitive-plural sense of the compared group kuru → tat-sasthi.
B	2826845	tatpurusa	tat-sasthi	gajānām anīkam	anīka (troop) takes genitive complement gaja → tat-sasthi.
B	2024475	tatpurusa	tat-sasthi	mama bhaktaḥ	pronoun mad in genitive sense (mama) modifies bhakta → tat-sasthi.
B	4570897	tatpurusa	tat-pancami	sirābhyo jātāḥ	kṛt suffix -ja 'born from' takes ablative source sirā → tat-pancami.
B	4629004	tatpurusa	tat-other	kāmāvasāyinaḥ bhāvaḥ	abstract-noun suffix tva forms a bhāva noun, not a case-inflected relation covered by the seven vibhakti types or other subtypes → tat-other.
B	4545570	tatpurusa	tat-sasthi	bhallātakasya kvāthaḥ	kvātha (decoction) takes genitive complement bhallātaka → tat-sasthi.
B	4295984	bahuvrihi	n/a	priyaṃ yaśo yasya saḥ	describes a person possessing dear fame, an external referent → bahuvrihi.
B	1524910	tatpurusa	karmadharaya	pūrve janmani	adjective pūrva agrees in case with janman → karmadharaya.
B	5253413	tatpurusa	karmadharaya	ṣoḍaśī-nāmakaṃ pātram	type-name ṣoḍaśin in apposition with generic noun pātra, same case → karmadharaya.
B	3621502	tatpurusa	tat-sasthi	dinānāṃ trayam	collective numeral traya (head) takes genitive complement dina, which is not itself the numeral → tat-sasthi.
B	425799	bahuvrihi	n/a	madirā ādir yeṣāṃ te	'X-ādi' list-marker compound denotes an external referent (the class of items), classic bahuvrihi pattern → bahuvrihi.
B	5573463	bahuvrihi	n/a	yāsu puru vājam (asti tāḥ)	Head vāja is dictionary-masculine but inflected feminine here (agreeing with the aids/ūtī it modifies), the classic exocentric-gender signature of bahuvrihi.
B	1101766	tatpurusa	tat-sasthi	nṛpasya bhāvaḥ	Abstract '-tva' head denotes the condition/state OF member1, a genitive relation.
B	2015095	tatpurusa	tat-sasthi	munīnāṃ śreṣṭhāḥ	Superlative śreṣṭha compounds with a genitive-sense comparison set, standard ṣaṣṭhī-tatpuruṣa.
B	837727	tatpurusa	tat-saptami	kaṇṭhe sthitam	Deverbal 'stha' (from sthā, stative) expresses a locative relation to member1, unlike the accusative-governing 'gata'.
B	230412	bahuvrihi	n/a	yeṣāṃ bhāgaḥ hutaḥ	'hutabhāga' is the standard dictionary gloss for a possessive epithet of the gods (recipients of the offered portion).
B	3902857	tatpurusa	karmadharaya	dṛḍhaḥ agniḥ	Adjective+noun in the same case, straightforward apposition.
B	1083581	tatpurusa	karmadharaya	mahān mantraḥ	Adjective 'mahā' directly qualifies 'mantra' in the same case.
B	2909651	tatpurusa	tat-sasthi	cāturāśramyasya dharmāḥ	Duties belong to/pertain to the four-āśrama system, genitive relation.
B	1143673	tatpurusa	tat-saptami	jaṭhare rogī	'-rogin' is a state/affliction adjective taking a locative complement, like the śauṇḍa/nipuṇa class.
B	1968519	tatpurusa	tat-sasthi	nārīṇāṃ kulam	kula denotes a collection OF member1, genitive relation.
B	2860433	tatpurusa	tat-trtiya	kālena sṛṣṭaḥ	Instrumental agent of the past participle sṛṣṭa.
B	3258050	tatpurusa	upapada	dhanaṃ dadāti (yaḥ saḥ)	kṛt agent noun '-da' (< dā, ends in -a) takes member1 as its object, canonical upapada.
B	435053	tatpurusa	upapada	bahu jānāti (yaḥ tena)	kṛt agent adjective '-jña' (deverbal, ends in -a) takes member1 as its object.
B	4387657	tatpurusa	tat-caturthi	draṣṭuṃ kāmyayā	Infinitive-stem+kāmyā compound expresses purpose, the tumun-elided caturthi (dative-sense) pattern.
B	5066761	tatpurusa	tat-trtiya	vastreṇa rodhitam	Instrumental means of the causative participle rodhita.
B	1526107	bahuvrihi	n/a	kṣataḥ dehaḥ yasya (saḥ)	Body-part noun + participle is the canonical possessive/exocentric bahuvrihi pattern.
B	620746	tatpurusa	tat-saptami	sute vātsalyam	'vātsalya' (fondness) takes a locative object of affection, like sneha/bhakti patterns.
B	3800550	tatpurusa	upapada	svāminaṃ bhajanti (ye te)	Deverbal participle '-bhakta' (< bhaj) takes member1 as its object/goal of devotion.
B	2577022	tatpurusa	tat-dvitiya	antaṃ gatam	Matches the codebook's own 'grāma-gata' example exactly — accusative goal of motion with deverbal 'gata'.
B	2796047	bahuvrihi	n/a	yasmin ādityaḥ naṣṭaḥ (tad āhavam)	The compound characterizes 'āhava' (battle) exocentrically ('[battle] in which the sun vanished'), not the sun itself.
B	674408	tatpurusa	upapada	āyurvedaṃ vidanti (ye te)	kṛt agent noun '-vid' takes member1 as its known object.
B	5577123	bahuvrihi	n/a	kṣatre śrīḥ yasya (saḥ)	śrī is dictionary-feminine but inflected masculine here (agreeing with the man Prātardani), the exocentric-gender bahuvrihi signature.
B	4058253	tatpurusa	karmadharaya	puruṣau ṛṣabhāv iva	'ṛṣabha' belongs to Pāṇini's vyāghrādi group of eminence-simile words forming karmadhāraya (2.1.56), not a genitive superlative.
B	3069815	tatpurusa	upapada	anyonyaṃ prayojayanti (ye te)	Causative kṛt agent '-prayojaka' takes the reciprocal member1 as its object.
B	4748445	bahuvrihi	n/a	pañcaviṃśatir antaḥ yasya (tad rūpam)	'anta' is dictionary-masculine but inflected neuter here (agreeing with rūpam), the exocentric-gender bahuvrihi signature.
B	1090928	bahuvrihi	n/a	catvāro bhujā yasyāḥ (sā)	Numeral+body-part describing the (feminine) goddess vocatively, though bhuja is dictionary-masculine — possessive bahuvrihi, not dvigu, since it attributes a quality to a person rather than naming a counted set.
B	2229072	tatpurusa	tat-sasthi	yādavānāṃ vāhinī	The army belongs to the Yādavas, genitive relation.
B	2526598	tatpurusa	karmadharaya	candra iva śubhrāḥ	Simile-apposition compound describing the horses, both members effectively same-case.
B	3837785	tatpurusa	tat-saptami	jaṭhare ujjvalā	Locative site of the heating (Rasaśāstra jaṭharayantra apparatus).
B	1074010	tatpurusa	tat-caturthi	ārādhanāya artham	Matches the codebook's own caturthi trigger-word 'artha' exactly.
B	1935348	tatpurusa	tat-saptami	pārśve avalambitā	Locative site where the vīṇā is made to hang.
B	3474368	tatpurusa	tat-sasthi	abhiṣavasya yogaḥ	'yoga' (application/process) pertains to the named technique, genitive relation; glossed in-text as synonymous with saṃmardana-yoga.
B	461473	tatpurusa	tat-sasthi	caroḥ kalpaḥ	'kalpa' (procedure/rule) pertains to the caru-offering, genitive relation.
B	3893848	bahuvrihi	n/a	gaganam ādir yeṣām	Same '-ādi/-ādika' exocentric 'and others' pattern as cpd_token_id 425799.
B	3608520	tatpurusa	tat-sasthi	antarātmanaḥ vittiḥ	'vitti' (perception) has antarātman as its object of cognition, genitive relation.
B	1756061	unclear	n/a	(uttareṇa) parikramya, āhavanīyasya (uttarataḥ)	Member1 is a free absolutive (gerund) merely sandhi-fused to a following genitive noun, not a genuine nominal compound; insufficient structure to assign a Mahābhāṣya class.
B	3576330	bahuvrihi	n/a	āḥkāraḥ antaḥ yasya (tat padam)	'anta' is dictionary-masculine but inflected neuter here, the same exocentric-gender bahuvrihi signature as cpd_token_id 4748445.
B	4512443	tatpurusa	karmadharaya	sarve prāṇinaḥ	Quantifier adjective 'sarva' directly qualifies prāṇin in the same case.
B	715469	tatpurusa	tat-sasthi	ajasya mūtram	'mūtra' (urine) belongs to/is produced by the goat, genitive relation.
B	2526520	tatpurusa	upapada	kulaṃ vardhayati iti vardhinī	vardhinī is a deverbal -in agent noun (causative √vṛdh); kula is its object — she who increases the family line.
B	4889759	tatpurusa	karmadharaya	jaya iti śabdaḥ	quotative apposition: the cry/word 'jaya' — both members denote the same referent (the shout itself).
