base_stem,dcs_lemma_grammar,formation_class,method,evidence,tokens
prajanay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),jan 4.Ā 'be born' -> janayati 'begets' — transparent causative; identity grade only because medial a takes no strengthening (Whitney §1042e),3
prakṣepay,10.P.,causative,root-recovery,"guna e->i: prakṣip (4.P.,6.Ā.,6.P.)",3
pralobhay,"10.P.,10.Ā.",causative,root-recovery,"guna o->u: pralubh (4.P.,4.Ā.)",3
prasāray,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ār->ṛ: prasṛ (1.Ā.,1.P.,3.P.,3.Ā.)",3
pratiṣṭhāpay,"10.P.,10.Ā.",causative,root-recovery,"p-caus (ā-p): pratiṣṭhā (1.P.,1.Ā.)",3
pratyarcay,10.P.,ambiguous_caus_class10,override-confirmed (root-recovery(identity)),"arc 1.P arcati 'honour' and arcayati cl.10 same sense — causative form, non-causative semantics",3
sammantray,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",3
saṃdhā,"3.Ā.,1.P.,3.P.",plain_root,dcs-grammar,"3.Ā.,1.P.,3.P.",3
saṃjanay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),jan 4.Ā 'be born' -> janayati 'begets' — transparent causative; identity grade only because medial a takes no strengthening (Whitney §1042e),3
saṃjīvay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),jīv 1.P 'live' -> jīvayati 'revives' (long medial vowel unstrengthened),3
saṃprakāśay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),kāś 1.Ā 'shine' -> (pra)kāśayati 'makes visible' (MW caus.),3
saṃrādhay,10.P.,causative,root-recovery,strip saṃrādh->rādh; vrddhi ā->a: radh (4. Ā.),3
saṃtoṣay,"10.P.,10.Ā.",causative,root-recovery,guna o->u: saṃtuṣ (4.P.),3
saṃvartay,10.P.,causative,root-recovery,"guna ar->ṛ: saṃvṛt (1.P.,1.Ā.)",3
spṛhay,10. Ā.,class10_lexical,override (auto was ambiguous_caus_class10/root-recovery(identity)),MW spṛh cl.10 spṛhayati 'desire' (denominative type; Whitney §1056),3
uddhāray,10.P.,causative,override-confirmed (root-recovery),"dhṛ -> dhārayati; formally causative (functions as the plain present 'holds' in classical usage, Whitney §1041b)",3
vidāray,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ār->ṛ: vidṛ (2.P.,4.P.)",3
vigarhay,"10.P.,10.Ā.",ambiguous_caus_class10,root-recovery(identity),"identity: vigarh (1.Ā.,1.P.)",3
viloḍay,10.P.,causative,root-recovery,strip viloḍ->loḍ; guna o->u: luḍ (1. P.),3
vyathay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),vyath 1.Ā 'waver' -> vyathayati 'agitates' (Whitney §1042),3
vyāpāray,10.P.,causative,root-recovery,strip vyāpār->āpār; vrddhi ār->ṛ: āpṛ (3.P.),3
vāsay,10. Ā.;Denom. Ā.,denominative,dcs-grammar,10. Ā.;Denom. Ā.,3
ācchāday,"10.P.,10.Ā.",ambiguous_caus_class10,override (auto was causative/root-recovery),MW chad cl.10 chādayati 'cover' is the principal entry; plain chad barely attested — boundary case,3
ānanday,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),nand 1.P 'rejoice' -> nandayati 'gladdens',3
āvāsay,10.P.,causative,root-recovery,strip āvās->vās; vrddhi ā->a: vas (2. Ā.),3
abhicchāday,"10.P.,10.Ā.",ambiguous_caus_class10,override (auto was causative/root-recovery),MW chad cl.10 chādayati 'cover' is the principal entry; plain chad barely attested — boundary case,2
abhiprasthāpay,10.P.,causative,root-recovery,"strip abhiprasthāp->prasthāp; p-caus (ā-p): prasthā (1.P.,1.Ā.)",2
abhipravāday,"10.P.,10.Ā.",causative,root-recovery,strip abhipravād->vād; vrddhi ā->a: vad (1. Ā.),2
abhirādhay,10.P.,causative,root-recovery,strip abhirādh->rādh; vrddhi ā->a: radh (4. Ā.),2
abhyarcay,"10.P.,10.Ā.",ambiguous_caus_class10,override-confirmed (root-recovery(identity)),"arc 1.P arcati 'honour' and arcayati cl.10 same sense — causative form, non-causative semantics",2
abhyarthay,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",2
abhyutsāday,10.P.,causative,root-recovery,"vrddhi ā->a: abhyutsad (6.P.,1.P.,2.P.,1.Ā.)",2
anunī,"1.P.,1.Ā.",plain_root,dcs-grammar,"1.P.,1.Ā.",2
bhañjay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: bhañj (4. P.),2
bhājay,10. Ā.,causative,root-recovery,vrddhi ā->a: bhaj (1. Ā.),2
bhāvay,10. Ā.,causative,root-recovery,vrddhi āv->ū: bhū (1. Ā.),2
cyāvay,10. Ā.,causative,root-recovery,vrddhi āv->u: cyu (1. P.),2
dūṣay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,2
kopay,10. Ā.,causative,root-recovery,guna o->u: kup (4. Ā.),2
kuṭṭay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: kuṭṭ (6. P.),2
kīrtay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,2
marday,10. Ā.,causative,root-recovery,guna ar->ṛ: mṛd (9. Ā.),2
mārgay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,2
niryāpay,10.P.,causative,root-recovery,strip niryāp->yāp; p-caus (ā-p): yā (2. Ā.),2
