key	verdict	locus	note
consonant-stems:31	AGREE	урок XXII (L2912)	«Сущ. ср. р. на as, is и us»; «в N. V. Асс. pl. получается āṅsi» — manāṅsi; м./ж. на as — вторичный подтип (sumanas, L2942).
consonant-stems:33	AGREE	урок XXI (L2717)	Корневые vāc, ruj, diś: окончания прямо к корню — «vācam... vācā... vāgbhyām»; vat/vas/añc — особые двухосновные классы (уроки XXIII–XXV).
consonant-stems:98	AGREE	урок XX (L2591)	«В сильных падежах, N. Асc.sg. m., N. V. Acc. du. m, N. V. pl. m»; слабые rājñā, rājñaḥ, rājñi; средние rājabhyām, rājabhiḥ, rājasu (L3149–3151).
pronouns:19	SILENT	—	Списки и парадигмы местоимений даны, тезиса о закрытом непополняемом классе нет; искал «местоимен», «класс».
pronouns:22	AGREE	урок XIX (L2450)	«Основы --- mad, asmad» (aham), «tvad, yuṣmad» (tvam); «Местоимение третьего лица tad он, она, оно; тот» — роль 3 л. играет tad.
pronouns:25	AGREE	урок XIX (L2450)	tad «тот», etad «этот» (L2473); «idam этот» (L3543), «adas тот» (L3568, урок XXVII) — весь ряд в наличии.
pronouns:26	AGREE	урок XIX (L2493)	«kim образует N. sg. kaḥ, kā, kim», Acc. kam/kām/kim, далее следует tad.
pronouns:27	AGREE	урок XIX (L2475)	«yad который: yaḥ, yā, yat» — в списке склоняемых как tad.
pronouns:28	AGREE	урок XIX (L2561)	«kas, kā+cit, +cana или +api - кто-нибудь, некто»; kim+cit/cana/api — вопросительное + частица.
pronouns:29	AGREE	урок XIX (L2489)	sarva и др. «склоняются как tad»; anya — как tad (L2477), para/pūrva — как sarva (L2499); sama не упомянут; в Abl.L.sg. и N.pl. допустим и тип deva.
pronouns:32	AGREE	урок XIX (L2463)	Парадигма tad: «tasmai... tasmāt... tasmin... teṣām» — особый местоименный образец; уникальность окончаний прямо не тематизирована.
pronouns:90	AGREE	урок XVIII (L2334)	aham: «mahyam, me», «mama, me», «asmākam, naḥ»; tad: saḥ/sā (без t-), tasmai, tasmāt, tasmin, teṣām (L2458–2469).
thematic-present:14	AGREE	урок I (L129)	«Корни по этому делятся на десять классов»; четвёрка на a: «С конечным a основы наст. вр. I, IV, VI и X классов» (L2071); vadati, lubhyati, tudati, X на aya.
thematic-present:129	AGREE	урок III (L415)	VI кл. «вставляют a, но их гласные не заменяются... guṇa», I кл. — с guṇa (урок II); об акценте и совпадении без него источник молчит.
thematic-present:134	SILENT	—	IV кл. ya (урок V, L652) и пассивное ya (урок X, L1301) даны порознь; совпадение форм и акцент не обсуждаются; искал «IV кл», «страдательн».
thematic-present:150	AGREE	урок XXXV (L4901)	V: «сильн. no [ṇo], слаб. nu»; VIII o/u (L5095); IX «nā [ṇā]» (L5241); VII «вставляют na [ṇa], в слабых n» (L6183); III — удвоение (L6003); IV — ya (L652).
thematic-present:92	AGREE	урок XVIII (L2300)	Каузатив на paya/aya «спрягается точно так как глаголы Х кл.»; X кл. — в группе основ на a (L2071); отыменные — урок XLVIII.
thematic-present:94	SILENT	—	Утверждение о списках Уитни; у Бюлера kṛ приписан только VIII кл. (L5097), многоклассность корней не обсуждается.
thematic-present:186	AGREE	урок V (L699)	«as IV - бросать, метать» против «Корень as II. Р. Ā., быть» (урок XL, L5867) — оба омонима с разными классами.
conjugation-overview:25	AGREE	урок I (L116)	«десять времен и наклонений... три числа... для трех лиц»; каждая форма в parasmaipada и ātmanepada — все оси заявлены.
conjugation-overview:26	AGREE	урок I (L118)	В списке 10 форм: indicativus (наст.), imperfectum, «perfectum», «аорист», «простое будущее», «описательное будущее»; склейка прошедших в DCS — вне источника.
conjugation-overview:27	AGREE	урок I (L118)	В списке: imperativus, optativus, «conditionalis», «precativus (benedictivus)»; субъюнктив/инъюнктив не трактуются (лишь mā + безаугментный аорист, L7007).
conjugation-overview:28	AGREE	урок I (L116)	Активная (parasmaipada) и медиальная (ātmanepada) формы; «Страдательный залог образуется при помощи суффикса ya» (урок X, L1301).
imperfect:19	AGREE	урок XI (L1417)	От основы наст. вр. + вторичные окончания: «Перед глаголом появляется приращение a»; ajaya, avadat.
imperfect:21	AGREE	урок XI (L1439)	«Imperfectum выражает прошедшее время и употребляется в историческом рассказе».
imperfect:76	AGREE	урок XI (L1419)	При слиянии приращения с начальным гласным «получается соответствующий двугласный vṛddhi»; āsīt — в парадигме as (L5897).
imperfect:77	AGREE	урок XI (L1431)	Парадигма: «a-vad-a-m, a-vad-a-ḥ, a-vad-a-t»; -va, -tam, -tām; -ma, -ta, -an — весь набор совпадает.
imperfect:78	AGREE	урок XXXVI (L5127)	«akarot» (основа karo-, L5097); bhava- (урок II), bravī- (L5551); abhavat/abravīt в файле не напечатаны, но прямо следуют из правила урока XI.
imperative-optative:19	AGREE	урок I (L129)	«Первые четыре производятся от особой основы настоящего времени» — ind., impf., imperativus, optativus; прекатив/кондиционал — периферия в конце курса.
imperative-optative:89	AGREE	урок XIV (L1801)	vada, vadatu, vadata; «оканчивается на dhi, после гласных его заменяет hi или оно отпадает» (L4897); «2-е и 3-е лицо... выражают приказание» (L1859).
imperative-optative:92	AGREE	урок XVI (L2071)	«оптативный ī сливается в e» (vadet) + окончания имперфекта; атематически «при помощи yā» (L4899): sunuyāt, syām (L5917).
imperative-optative:93	AGREE	урок XVI (L2085)	«Optativus обыкновенно выражает возможность, желание или приказание»; шастровое «следует» отдельно не выделено.
imperative-optative:57	AGREE	урок XIV (L1859)	«Второе и третье лицо императива большей частью выражают приказание» — юссивное 3 л.; astu в парадигме as (L5913), глосса «пусть» не даётся.
perfect:14	AGREE	урок XLIII (L6379)	«А. Перфект с удвоением»; описательный перфект обязателен для тяжёлых начал и «всех корней X кл, всех каузативов» (L6673): «суффикс ām» + āsa/cakāra/babhūva.
perfect:16	SILENT	—	Утверждение о тексте Уитни; у Бюлера veda — лишь альтернативный индикатив vid II (L5707), перфектом не назван; искал veda, viveda, vid.
perfect:105	AGREE	урок XLV (L6937)	Перфект образуется удвоением без приращения (урок XLIII), а «Третий аорист --- по форме есть imperf. с удвоением»: аугментированная редуплицированная форма — аорист.
perfect:100	AGREE	урок XLV (L6943)	III аорист: аугмент + удвоение, «образуется от корней X кл. и каузативов»; «pat Р., apaptat»; самих ajījanat/avīvṛdhan нет (ср. ajagaṇat, avīvṛtat).
perfect:101	SILENT	—	adadat не рассматривается: dā даёт adāt (I тип) и adita (IV Ā., L7083), adadhat — от dhe «сосать» (L6941); искал adadat, dadā.
perfect:118	AGREE	урок XLIII (L6677)	«в Par. āsa, cakāra или babhūva, в Ātm. cakre» — тройка as/kṛ/bhū; частотная иерархия и §§ Уитни не обсуждаются.
perfect:124	AGREE	урок XLIII (L6673)	Описательный перфект «обязателен» для «всех корней X кл, всех каузативов... и отыменных глаголов» — т.е. производных основ на aya.
perfect:134	AGREE	урок XLI (L6003)	III кл.: «личные окончания прямо к корню, причем в корне происходит удвоение»; bibharti (L6029), juhoti (L6125); dadāti в файле не встретился.
aorist:19	AGREE	урок XLV (L6907)	Семь нумерованных аористов (I–VII, уроки XLV–XLVII); употребляются как «редких форм прошедшего времени, совершенно равноправно с perf. и imperf.» (L7007).
aorist:84	AGREE	урок XLV (L6909)	I abhūt; II agamat, «vac Р., avocat»; III редуплиц. (X кл./каузативы); IV akārṣīt; V alāvīt (i/ī); VI ayāsīt (siṣ); VII adikṣat (sa) — все с аугментом.
aorist:108	AGREE	урок XLV (L6937)	«Третий аорист --- по форме есть imperf. с удвоением»; II «образуется также как impf.» тематич. класса, VII «спрягается подобно impf. I кл.» (L7133).
aorist-types:19	AGREE	урок XLV (L6907)	Аорист дан семью параллельными образованиями («Первый аорист»... «Седьмой аорист»), тогда как imperf. и perf. — по одному способу.
aorist-types:61	AGREE	урок XLV–XLVI (L6907, L7013)	Сам делит так же: «Корневые аористы» (I–III: root/them/red) против «образованные при помощи суффиксов (сигматические)» (IV s, V iṣ, VI siṣ, VII sa); Уитни не назван.
aorist-types:89	AGREE	урок XLV–XLVII (L6909–L7133)	Все типы: abhūt, avocat, III «по форме есть imperf. с удвоением» (от каузативов, L6945), akārṣīt, V с i/ī (-īt), VI ayāsīt, VII «от корней на ś, ṣ и h»; аугмент как в impf.
aorist-types:63	AGREE	урок XLV (L6911)	Парадигма abhūt от «bhū возникать, становиться» (I корневой аорист); суплетивная связь с as не обсуждается.
future:23	AGREE	урок XLIV (L6757)	«посредством суфф. sya [ṣya]... принимающего окончания ind. praes.»; guṇa корня (L6759); kariṣyati, bhaviṣyati.
future:24	AGREE	урок XLIV (L6735)	«nominis actoris на tṛ» + формы as для 1–2 л.; «в третьем лице глагольная форма опускается»; bhavitā, kartā.
future:26	SILENT	—	Опис. будущее дано только формально (ур. XLIV); о значении «отдалённое/предначертанное» ничего — искал «отдал-», «неизбеж-».
future:28	AGREE	урок XLIV (L6841)	«Imperfectum, образованное от простого будущего, называеся conditionalis», в условных предложениях; adāsyat; контрфактика видна в упражнении (L7009).
ta-na-participles:19	AGREE	урок XXVII (L3593)	«Part. perf. pass. образуется посредством ta, f. ā, или na [ṇa], f. ā»; употребляется как прилагательное (L3651).
ta-na-participles:20	AGREE	урок XXVII (L3651)	«часто со значением глагола (verbi finiti), напр. sa gataḥ „он пошел“» — активное прош. значение от непереходного.
ta-na-participles:26	AGREE	урок XXVII (L3595)	«na обыкновенно присоединяется к глаголам на ṝ... на r и на простой d»: sanna, bhinna, bhagna, līna; -ta — общий случай.
ta-na-participles:28	AGREE	урок XXVIII (L3797)	«Конечные dh и bh превращаются в d и b, а следующий за ними t - в dh»: baddha, labdha; dagdha, gūḍha (L3805–3839).
ta-na-participles:84	AGREE	урок XXVII (L3593)	«от корня, принимающего обыкновенно кратчайшую форму».
present-perfect-participles:19	AGREE	урок XXVII (L3591)	По сути: причастия склоняются с ж.р. ā/ī и рубрицируются по времени и залогу — «Part. praes. Ātm. ... посредством māna..., f ā».
present-perfect-participles:102	AGREE	урок XXIII (L3047)	«Имена муж. р. на at в сильных пад. имеют ant»; ж.р. на ī = -antī/-atī по классам (L3068, L3072); согласное склонение.
present-perfect-participles:103	AGREE	урок XXVII (L3591), урок XXXV (L5013)	«посредством māna» для I, IV, VI, X; «классов II, III, V, VII, VIII, IX... при помощи суф. āna» (sunvāna).
present-perfect-participles:104	AGREE	урок XXVII (L3591)	«причастие страдательного залога образуется посредством māna... kriyamāṇa» — от пассивной основы наст. вр.
present-perfect-participles:105	AGREE	урок XXV (L3275), урок XLIII (L6723)	«в сильных падежах основу на vāṃs... в слабых... на uṣ», vidvān/viduṣ; «Part. perf. Ātm. ... посредством āna» (dadhāna, cakrāṇa).
present-perfect-participles:107	SILENT	—	Семантического теста (одновременность vs состояние) нет — искал «одновремен-», пояснения к значению причастий отсутствуют.
gerundive:19	AGREE	урок XXX (L4257)	«Part. fut. pass.» на tavya/anīya/ya, все f. ā; «если должна быть выражена необходимость» (L4263); агенс в Instr. — общее правило пассива (ур. X, L1327).
gerundive:93	AGREE	урок XXX (L4257)	«Part. fut. pass. образуется посредством tavya (f ā), anīya... и ya» — ровно три суффикса и тот же термин.
gerundive:94	AGREE	урок XXX (L4263)	«Конечные i и ī изменяются в guṇa, а ṛ и ṝ в vṛddhi, напр. ji -- jeya; kṛ - kārya».
gerundive:95	AGREE	урок XXX (L4259)	«Перед tavya с корнями происходят те же изменения... как в инфинитиве, напр. vaktavya, labdhavya».
gerundive:96	SILENT	—	Правила для anīya даны (L4261), но анализа -ana (имя действия) + -īya нет; искал «anīya», «имя действия».
gerundive:97	AGREE	урок XXX (L4257)	Все три объединены одним «Part. fut. pass. образуется посредством tavya, anīya и ya» = одна функция; стилистика/метрика выбора не обсуждаются.
infinitive:19	AGREE	урок XXX (L4123)	«Infinitivus образуется посредством суффикса tum», guṇa; соед. i (bhavitum, L4249); śak+inf. (сноска L11871), цель в упражнениях; про вин.п. на -tu ничего.
infinitive:95	AGREE	урок XXX (L4259)	«Перед tavya... те же изменения... как в инфинитиве»; тождество с -ta прямо не сформулировано (лишь -tvā ~ ta/na, L3989).
infinitive:98	SILENT	—	Ведийских инфинитивов и истории формы нет — искал «tave», «dhyai», «ведийск-»; курс даёт только классический -tum.
absolutive:19	AGREE	урок XXIX (L4033)	«переводить... „когда, после того как“» — предшествующее действие; несклоняемость и односубъектность явно не оговорены.
absolutive:25	AGREE	урок XXIX (L3987, L4011)	«К простым корням tvā»; с приставками «посредством ya или, если корень оканчивается на краткий гласный, посредством tya»; praṇamya (L4019).
absolutive:82	AGREE	урок XXIX (L3989)	«корень принимает кратчайшую (слабейшую) форму»: gatvā, bhūtvā, uktvā.
absolutive:84	AGREE	урок XXIX (L4027)	«Очень редкая форма abs. образуется при помощи am» (smāram, bhojam); ведийская атрибуция не даётся.
absolutive:107	SILENT	—	Корпусные проценты DCS вне источника; у Бюлера нет статистики -tvā/-ya (искал подсчёты, «%»).
passive:19	AGREE	урок X (L1301)	«при помощи суффикса ya... принимает личные окончания Ātm.»; ucyate (L1325), kriyate (L1311); слабые формы корня; акцент не обсуждается.
passive:26	SILENT	—	IV кл. на ya (L652) и пассив (L1301) даны порознь; формальное совпадение основ и различие по акценту не обсуждаются.
passive:106	AGREE	урок XLVII (L7195)	«страд. залога образуются посредством окончаний Ā» (перфект, futura, cond., prec.); часть про DCS-теги — вне источника.
causative:14	AGREE	урок XVIII (L2300)	«Causativus... посредством суффикса paya или aya», подъём гласных guṇa/vṛddhi (L2306–2320); значение: «dāpayati он заставляет давать».
causative:113	AGREE	урок XVIII (L2320)	«kṛ, kārayati», «budh, bodhayati» (L2312), «gam, gamayati» — исключение без удлинения (L2308); darś caus. показывать (L2360).
causative:114	AGREE	урок XVIII (L2302)	«paya присоединяется к большинству корней на ā и двугласные»: jñāpayati, dāpayati; sthāpayati (L7003) — тот же вставной -p-.
causative:115	AGREE	урок XVIII (L2300)	«спрягается точно так как глаголы Х кл.»; неоднозначность обратного разбора -aya- не обсуждается.
causative:151	AGREE	урок XLVIII (L7371)	Отдельный раздел «Denominativa, отыменные формы»: «образуются посредством ya, aya, āpaya» — laghayati, muṇḍayati.
causative:32	AGREE	урок XXVII (L3591)	«Part. praes. Ātm. классов I, IV, VI и X и каузативов» + Ā-формы каузативов в precat. (L6855) — оба залога.
word-structure-overview:25	SILENT	—	Модели корень→основа→словоформа и четвёрки способов (kṛt/taddhita/samāsa) нет; искал «kṛt», «taddhita», «деривац-».
word-structure-overview:30	SILENT	—	Утверждение о тексте Уитни; Бюлер Уитни нигде не цитирует (grep «Уитни/Whitney» — 0 попаданий).
word-structure-overview:83	SILENT	—	Статистики инвентаря корней нет — искал «%», подсчёты по классам; классы даны без количеств.
word-structure-overview:28	SILENT	—	Категории kṛt/первичной деривации нет; формы даются по урокам без деривационной рамки (искал «kṛt», «первичн-»).
krt-overview:19	SILENT	—	Термина kṛt и рамки первичной деривации нет (искал «kṛt», «деривац-»); отдельные формы есть, категории — нет.
krt-overview:34	SILENT	—	Ссылка на инвентарь у Уитни 1889; Бюлер Уитни не цитирует (grep — 0).
krt-overview:61	AGREE	урок XXIX (L3985, L4011)	«Absolutivum или Gerundium» на tvā и «Absolutivum на уа»; плюс редкий -am (L4027).
krt-overview:62	AGREE	урок XXX (L4257)	«Part. fut. pass. образуется посредством tavya..., anīya... и ya».
krt-overview:63	AGREE	урок XXX (L4123)	«Infinitivus образуется посредством суффикса tum».
krt-overview:67	SILENT	—	Утверждение о тегах разметки DCS; сами -ta/-na как прич. прош. страд. у Бюлера есть (ур. XXVII), но о корпусной разметке он молчит.
krt-suffixes:14	SILENT	—	Утверждение о §§ Уитни; Бюлер Уитни не цитирует и инвентаря kṛt-суффиксов не даёт.
krt-suffixes:96	SILENT	—	Различение посессивного -in/-vin и агентивного kṛt -in не обсуждается; -in-слова только в словарных списках (tapasvin, prakāśin).
krt-suffixes:155	SILENT	—	Морфемного членения jana не даёт; деривационных разборов имён в курсе нет (искал «jan», разборы на -a/-ana).
krt-suffixes:147	SILENT	—	Деривация gati < gam+ti не обсуждается; gati только как словарное слово (искал «gati», имена на -ti).
taddhita-overview:19	SILENT	—	Термина taddhita и темы вторичной деривации нет (искал «taddhita», «вторичн-»); патронимы с vṛddhi не обсуждаются.
taddhita-overview:200	SILENT	—	Инвентаря taddhita нет; tara/tama даны лишь как степени сравнения (L4579), системы вторичных суффиксов нет.
taddhita-overview:205	SILENT	—	Полисемия суффикса -ya не обсуждается, Уитни не цитируется; -ya у Бюлера только герундив/пассив/абсолютив.
taddhita-overview:144	SILENT	—	Искал: притяжат., патроним., -in/-ya. Есть лишь склонение имён на in (dhanin, урок XXII) и mat/vat; омонимия суффиксов не обсуждается.
preverbs:19	AGREE	урок IX (L1195)	«Перед глаголами появляются часто следующие приставки» — со значениями (ava вниз, ud вверх…); ā-gam «приходить» при gam «идти»; ср. урок XIII (L1691).
preverbs:99	SILENT	—	Утверждение о тексте Уитни; Бюлер Уитни не цитирует (поиск Уитни/Whitney — 0 хитов).
preverbs:104	SILENT	—	Искал: тмесис, разделы о приставках (L1195, L1691). Лексикализация, стопка превербов и ведийский тмесис не обсуждаются.
compounds-overview:24	DISAGREE	урок XXXIII (L4671–4681)	«Обратные случаи: pūrvakāyaḥ = pūrvaṃ kāyasya»: вершина-слева не только в двандве; ядро же есть — «один член (большей частью передний)».
compounds-overview:29	AGREE	урок XXXIII (L4659–4683)	Четыре разряда + avyayībhāva; «наречия или приложения (karmadhāraya)» — подтип tatpuruṣa; но dvigu у Бюлера — подтип tatpuruṣa, не кармадхараи.
tatpurusha:14	AGREE	урок XXXIII–XXXIV (L4659–4779)	«Соединительные составные имена (dvandva)», tatpuruṣa, bahuvrīhi, avyayībhāva — те же 4 класса; pradhāna-критерия и kevala-samāsa нет.
tatpurusha:191	SILENT	—	Целиком о кодовой книге/реестре разметки; у Бюлера об этом ничего (dvigu — подтип tatpuruṣa, L4683).
tatpurusha:92	SILENT	—	Граница K/B дана только через разные виграхи (yasya saḥ, L4767); тезис об эндо-/экзоцентричности и невыводимости из членения не формулируется.
tatpurusha:179	SILENT	—	Искал: многочленные композиты, членение, рекурсия. Правило право-левого рекурсивного членения не формулируется.
tatpurusha:162	AGREE	урок XXXIII (L4675)	«разрешается посредством предложения с verbam finitam»: prajāpālaḥ = prajāḥ pālayatīti — kṛt-вершина с объектом слева; термина upapada нет.
bahuvrihi:19	AGREE	урок XXXIV (L4765)	«Притяжательными сложными словами (bahuvrīhi)»; виграха yasya saḥ выносит референт вовне; эпоним «много риса» не разъяснён.
bahuvrihi:58	SILENT	—	Пары mahāpuruṣa (karmadh., L4679) / mahābāhuḥ (bahuvr., L4767) есть, но принцип «класс не выводится из членов» не формулируется.
bahuvrihi:106	AGREE	урок XXXIV (L4765–4771)	«saputraḥ или sahaputraḥ = putreṇa sahitaḥ», aputraḥ, caturmukhaḥ, косв.-падежный член (asipāṇiḥ); терминов samānādhikaraṇa/vyadhikaraṇa нет.
bahuvrihi:84	AGREE	урок XXXIV (L4767)	«dīrghabāhuḥ = dīrghāu bāhū yasya saḥ» — разрешение относительным оборотом, референт вне композита.
case-system-overview:19	AGREE	урок II–IV (L281–303, 421–428, 534–547)	Парадигмы дают ровно 8 падежей: «Nom. devaḥ», Voc, Acc, I (phalena), D, Abl, G, L; термина vibhakti и счёта «восемь» нет.
case-system-overview:51	AGREE	урок II–III (L305–309, 432–442)	«Nominativus — падеж подлежащего»; функции Acc/Ins/Dat/Abl/Gen/Loc по сути те же; Voc не комментируется; Abl-сравнение — отдельно (L4609).
case-system-overview:66	SILENT	—	Функции Dat (L436) и Gen (L440) описаны; о переходе адресата от датива к генитиву ничего.
case-system-overview:68	AGREE	урок III (L436)	«то, в пользу чего действие совершается (Dativus commodi)»; в словаре «ради -artham» (L11265); историческое «сохранился» не обсуждается.
case-system-overview:70	DISAGREE	урок XXXIII (L4657, 4673)	«Иногда первый член удерживает падежное окончание» (vācaspatiḥ); дефолт («принимает форму основы») совпадает, но исключения против «только».
case-system-overview:92	AGREE	урок II–III (L281–303, 421–430)	«phalena, phalāya и т. д.»; в таблицах devaḥ/devam/devāya/devāt/deve, Voc deva; -asya: devasya (L4769).
case-system-overview:98	AGREE	урок III (L434)	«выражает сопровождение, действующее лицо или орудие»; агенс пассива в Instr (L1327); образ действия и причина не названы.
case-system-overview:100	AGREE	урок XXXII (L4609)	«Сравнительная степень сочетается с Аbl.»
case-system-overview:101	AGREE	урок III (L442)	«обозначает место и время совершения действия»; loc. abs. лишь в тексте и пометах упражнений (proṣite sati L4751; L6903), без правила.
case-system-overview:102	SILENT	—	Искал: kāraka/карак, роли Панини. Падежи описаны функционально, модель карак не упоминается.
case-system-overview:113	AGREE	урок XX (L2595)	«в N. V. Асc. sg. n.» — синкретизм ср.р.; в таблицах phala N=V=Acc, дв.ч. devau/phale (урок II); ср. «совпадает с N. V. Асc. du. n.» (L3072).
nominative-accusative:52	AGREE	урок II (L307)	«Nominativus — падеж подлежащего»; предикатив отдельно не назван.
nominative-accusative:57	SILENT	—	Локатив абсолютный не трактуется (лишь пометы loc. abs. в упражнениях); о локативных подлежащих ничего.
nominative-accusative:61	SILENT	—	Искал: сказуемое, связка, Nom. Правило о номинативе именного сказуемого не формулируется.
nominative-accusative:79	AGREE	урок II (L309)	«направление и протяжение (время и пространство)» сверх прямого дополнения; наречные употребления не названы.
nominative-accusative:88	SILENT	—	yāc в книге отсутствует; двойной Acc упомянут только у каузативов (L2326).
nominative-accusative:113	SILENT	—	Искал: prathamā, dvitīyā. Только порядковые числительные (L4487); туземные имена падежей не даются.
nominative-accusative:116	SILENT	—	«двойными Acc.» — только о каузативах (L2326); yāc/duh/nī/śās с двумя Acc не обсуждаются.
instrumental-dative:50	AGREE	урок III (L434)	«с кем? посредством чего?… орудие»; но «основным» его среди трёх значений не называет.
instrumental-dative:53	AGREE	урок X (L1327)	«Действующее лицо (или вещь) стоит в Instr.» — при пассивной конструкции.
instrumental-dative:57	AGREE	урок III (L434)	«выражает сопровождение»; тж. saha «вместе» (+In.) (L1283).
instrumental-dative:66	SILENT	—	Функции Dat (L436) и Gen (L440) без слова о переходе адресата к генитиву.
instrumental-dative:76	AGREE	урок III (L436)	«то, в пользу чего действие совершается»; словарь: «ради -artham» (L11265); о «наречном употреблении» не говорит.
instrumental-dative:97	AGREE	урок III (L434)	«сопровождение, действующее лицо или орудие»; saha +In. (L1283); агенс пассива (L1327); мера/цена/путь не названы.
instrumental-dative:99	AGREE	урок III (L436)	«то, в пользу чего действие совершается (Dativus commodi)»; адресат давания в текстах: brāhmaṇebhyo dattāni (L4573).
instrumental-dative:101	SILENT	—	Искал: ведийск., -tave, инфинитив (только tum, урок XXX). Ведийский датив не обсуждается.
ablative-genitive:53	AGREE	урок III (L438)	«отвечает на вопрос откуда? и обозначает причину»; сравнение: «Сравнительная степень сочетается с Аbl.» (L4609).
ablative-genitive:69	AGREE	урок III (L440)	«всякого рода принадлежность»; о посессивных местоимениях как заполнителях падежа ничего.
ablative-genitive:72	SILENT	—	Dat (L436) и Gen (L440) описаны без тезиса о переходе роли адресата.
ablative-genitive:75	AGREE	урок V (L693)	«krudh IV — гневаться (+D., Gen.)», snih (+Gen., Loc.) — глагольное управление Gen.; партитивность не обсуждается, Gen. partitivus — адноминально (L440).
ablative-genitive:134	SILENT	—	Искал: Gen. abs., самостоятельный, paśyataḥ. Генитив абсолютный не упоминается.
ablative-genitive:136	SILENT	—	Генитива абсолютного в книге нет (поиск absolut/самостоятельн.), сравнивать частотность не с чем.
ablative-genitive:131	AGREE	урок V (L687)	«Предлог ā … согласуется с Acc. или Abl.»; ṛte в книге отсутствует.
ablative-genitive:132	AGREE	урок III (L440)	«всякого рода принадлежность (Genitivus subjectivus, objectivus и partitivus)»; термина śeṣa нет.
locative:56	AGREE	урок III (L442)	«место и время совершения действия, и также направление» (≈ локатив цели); сфера/условие не названы.
locative:22	SILENT	—	Правило loc. abs. не формулируется; конструкция лишь в тексте (proṣite sati, L4751) и пометах упражнений (L6903, 7127).
locative:123	SILENT	—	Устройство локатива абсолютного (согласование, набор причастий, sati) не описывается; только пометы loc. abs. в упражнениях.
karaka-case:24	SILENT	—	Искал: kāraka/карак, sampradāna/apādāna. Модель карак Панини не упоминается.
karaka-case:99	AGREE	урок III (L434)	«сопровождение, действующее лицо или орудие» — один падеж, несколько функций; Gen. subjectivus (L440); Nom — подлежащее (L307); Instr в пассиве (L1327).
karaka-case:146	SILENT	—	Утверждение о композиции грамматики Уитни; Бюлер Уитни не упоминает.
karaka-case:162	AGREE	урок X (L1327)	«Личная пассивная конструкция очень употребительна»; в упражнении пациенс при pass. помечен nom. (L4753).
voice:23	AGREE	урок I (L116)	«и активную (parasmaipada), и медиальную (ātmanepada) форму»; пассив — урок X (L1301); термина karmaṇi нет.
voice:69	AGREE	урок X (L1327)	«Действующее лицо (или вещь) стоит в Instr.»
voice:128	AGREE	урок VIII (L1042)	«действие совершается для самого же действующего лица» — при наличии обеих пад; «очень многие глаголы спрягаются только в Ātm.» — выбор лексичен.
voice:131	AGREE	урок X (L1301)	«образуется при помощи суффикса ya» + окончания Ātm. (kriyate, L1311); impf./imper./opt. пассива — окончания Ātm. (L1652, 1949); аорист пассива (L7153).
HK-1	AGREE	урок XLV (L7007)	«аористы большей частью употребляются в качестве редких форм прошедшего времени»; о ведийской доле и «лишь части корней» молчит.
HK-2	AGREE	урок XIX (L2561)	Словарная формула «kas, kā+cit, +cana или +api — кто-нибудь»: склоняемая вопросительная часть + неизменные частицы; явного правила и сандхи-оговорки нет.
