L_id	k1	hom	verdict	mw_realcite	corpus_hit	also_in_pw_same_source	pwg_text_sibling	n_kosa	present_in	novel_kosa	pwg_cited_sources
65	aka		text-attested	1		1	1	2	vcp|skd|mw|ap90|ap|pw	skd|vcp	H|MED|TRIK
66	akaca		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	HĀR
68	akanizWaga		dict-lexical	0		1	0	0	mw|pw		TRIK
73	akarA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	ŚABDAC|ŚKDR
74	akaruRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HĀR
75	akarkaSa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
76	akarRa		text-attested	1		1	1	1	mw|ap90|ap|pw|abch		H
78	akartana		dict-lexical	0		1	0	0	mw|ap90|ap|pw		JAṬĀDH|ŚKDR
85	akalkana		text-attested	1		1	0	2	vcp|mw|ap90|ap|pw|abch	vcp	H
86	akalkala		dict-lexical	0		0	0	0	mw		ŚKDR
87	akalkA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	ŚABDAC|ŚKDR
111	akAlajaladodaya		dict-lexical	0		1	1	0	mw|pw		ŚABDAM|ŚKDR
112	akAlameGodaya		dict-lexical	0		0	0	0	mw		ŚABDAM|ŚKDR
113	akAlavelA		dict-lexical	0		1	0	0	mw|ap|pw		Z
115	akiMcanatA		dict-lexical	0		1	0	0	ap90|ap|pw		H
122	akupya		text-attested	1		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	AK|H|HALĀY|ŚKDR
124	akula		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	H
128	akUrca		dict-lexical	0		1	0	0	mw|ap90|ap|pw		TRIK|ŚKDR
129	akUvAra		kosa-corroborated	0		0	0	1	mw|ap90|ap|acsj	acsj	H
140	akfzRakarman		dict-lexical	0		1	0	0	mw|ap|pw		AK
153	akrama		text-attested	1		1	0	2	vcp|mw|ap90|ap|pw|abch	vcp	H|ŚKDR
157	akrAnta		text-attested	1		1	0	0	mw|ap|pw		RATNAM|ŚKDR
163	aklikA		kosa-corroborated	0		1	0	1	skd|mw|ap90|ap|pw		ŚABDAC|ŚKDR
171	akzaja		kosa-corroborated	0		1	0	2	vcp|mw|pw|acph	acph|vcp	H|ŚKDR
175	akzadarSaka		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
176	akzadfS		kosa-corroborated	0		1	0	2	armh|vcp|mw|ap|pw	armh|vcp	HALĀY|ŚKDR
177	akzadevin		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|abch	vcp	AK|H
181	akzaDara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
182	akzaDUrta		kosa-corroborated	0		1	0	1	mw|pw|abch		AK|H
183	akzaDUrtila		dict-lexical	0		1	0	0	mw|pw		HĀR
188	akzapAwaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
189	akzapIqA		kosa-corroborated	0		0	0	2	vcp|skd|mw|ap	vcp	RĀJAN|ŚKDR
193	akzamAlA		text-attested	1		1	1	3	vcp|skd|mw|ap|pw|abch	skd|vcp	H|MED
197	akzayatftIyA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	ŚKDR
205	akzaracaYcu		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
206	akzaracaRa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
207	akzaracuYcu		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK
208	akzaracCandas		kosa-corroborated	0		1	0	1	vcp|ap|pw	vcp	COLEBR
209	akzarajIvaka		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	H
210	akzarajIvika		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HALĀY|ŚKDR
211	akzarajIvin		kosa-corroborated	0		1	0	2	vcp|mw|pw|acph	acph|vcp	H
212	akzaratUlikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	JAṬĀDH|ŚKDR
213	akzaranyAsa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
217	akzaramuKa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
220	akzarasaMsTAna		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK
225	akzavAwa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H|TRIK
229	akzasUtra		kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	H|JAṬĀDH|MED|ŚKDR
230	akzAgrakIla		kosa-corroborated	0		1	0	1	mw|pw|abch		H
231	akzAgrakIlaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK
233	akzAnti		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
239	akzika		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RATNAM|ŚKDR
241	akzikUwaka		kosa-corroborated	0		0	0	2	vcp|mw|abch	vcp	AK|H
242	akzigata		text-attested	1		1	1	3	armh|vcp|mw|ap|pw|abch	armh|vcp	AK|H
250	akziBezaja		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
253	akziloman		dict-lexical	0		1	0	0	mw|ap|pw		AK
254	akziva		kosa-corroborated	0		0	0	1	vcp	vcp	AK|ŚKDR
255	akzivikURita		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
256	akzIka		dict-lexical	0		0	0	0	mw|ap90|ap		RATNAM|ŚKDR
258	akzIva		kosa-corroborated	0		0	0	2	vcp|ap90|ap|abch	vcp	AK|H|MED
270	akzoqa		kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	AK
271	akzoqaka		dict-lexical	0		1	0	0	mw|pw		RATNAM|ŚKDR
272	akzoBa		dict-lexical	0		1	0	0	mw|ap90|ap|pw		TRIK
277	akzRa	2	text-attested	1		1	1	1	vcp|mw|ap90|ap|pw	vcp	ŚKDR
280	aKawwa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
281	aKawwi		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK|ŚKDR
283	aKaRqana		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚABDAC|ŚKDR
284	aKaRqitartu		dict-lexical	0		1	0	0	mw|pw		ŚABDAC|ŚKDR
293	aKewika		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HĀR
294	aKeditva		text-attested	1		1	0	1	mw|pw|abch		H
301	agacCa		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	H|TRIK|ŚKDR
302	agaja		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	RATNAM|ŚKDR
314	agaru		kosa-corroborated	0		1	0	4	armh|vcp|skd|mw|ap90|ap|pw|abch	armh|skd|vcp	H
318	agastidru		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
322	agastyagItA		kosa-corroborated	0		0	0	1	vcp|mw|ap	vcp	Verz
323	agastyacAra		kosa-corroborated	0		0	0	1	vcp|mw	vcp	Verz
324	agastyasaMhitA		kosa-corroborated	0		0	0	1	vcp|mw|ap	vcp	Verz
328	agADajala		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
331	agira		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
336	aguruSiMSapA		kosa-corroborated	0		1	0	2	vcp|skd|ap|pw	vcp	AK|ŚKDR
337	agUQaganDa		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|acph	acph|vcp	H|RĀJAN|ŚKDR
345	agOkas		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|abch	vcp	H|MED
351	agnikaRa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
354	agnikArikA		text-attested	1		1	0	4	vcp|skd|mw|ap|pw|abch|nmmb	nmmb|skd|vcp	H
356	agnikAzWa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
357	agnikukkuwa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
359	agnikumAra		text-attested	1		1	0	1	vcp|mw|pw	vcp	Verz
361	agnikoRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
372	agnijanman		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	H
374	agnijAra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
375	agnijAla		dict-lexical	0		0	0	0	mw		RĀJAN|ŚKDR
379	agnijvAlA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	AK|RĀJAN|ŚKDR
391	agnidatta		text-attested	1	bhs	1	1	0	mw|bhs|pw		BURN
392	agnidamanI		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|ŚKDR
394	agnidAha		text-attested	1		1	0	0	mw|pw		Verz
399	agnidevA		kosa-corroborated	0		1	0	3	vcp|skd|mw|ap|pw|abch	skd|vcp	H
404	agniniryAsa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
416	agniprastara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
418	agniBa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
420	agniBU		text-attested	1		1	0	3	armh|vcp|mw|ap|pw|abch	armh|vcp	AK|H
423	agnimaRi		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
430	agnimAndya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	Verz
431	agnimAruti		kosa-corroborated	0		0	0	1	vcp|mw	vcp	TRIK
434	agnimuKa		text-attested	1	bhs	1	1	1	vcp|mw|bhs|ap|pw	vcp	AK|H|MED|RĀJAN|ebend|ŚKDR
438	agnirakzaRa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
439	agniraja		kosa-corroborated	0		1	0	1	mw|pw|abch		H|WILSON|ŚKDR
442	agniruhA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|ŚKDR
449	agnivarDaka		dict-lexical	0		1	0	0	mw|ap|pw		ŚKDR
450	agnivallaBa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H|RĀJAN|ebend|ŚKDR
453	agnivAha		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	H|TRIK
454	agnivindu		kosa-corroborated	0		0	0	1	vcp	vcp	Verz
458	agnivIrya		dict-lexical	0		1	0	0	mw|pw		RĀJAN|ŚKDR
459	agniveSa		text-attested	0	gra	1	1	0	mw|gra|pw		Verz|Z
461	agnivESyAyana		text-attested	0	bhs	0	0	0	bhs		BURN
469	agniSeKara		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	RĀJAN|ŚKDR
470	agniSeza		dict-lexical	0		1	0	0	mw|pw		Ind
479	agnisaMBava		pwg-unique	0		1	0	0	pw		H|RĀJAN|ŚKDR
480	agnisahAya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
482	agnisAra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
484	agnisiMhanandana		kosa-corroborated	0		0	0	1	abch		H
485	agnistamBa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	Verz
487	agnisvAmin		pwg-unique	0		1	0	0	pw		Ind
499	agnIDrI		pwg-unique	0		0	0	0			H
511	agnyAtmaka		dict-lexical	0		1	0	0	mw|ap|pw		Ind|ŚAṂK
514	agnyAlaya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
516	agnyutpAta		text-attested	1		1	1	1	vcp|mw|pw	vcp	AK
522	agrakAya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	H
524	agragaRya		kosa-corroborated	0		1	1	1	vcp|mw|ap|pw	vcp	ŚKDR
527	agrajaNGA		kosa-corroborated	0		1	0	3	vcp|skd|mw|ap|pw|abch	skd|vcp	H
530	agrajAtaka		dict-lexical	0		1	0	0	mw|ap|pw		ŚABDAR|ŚKDR
531	agrajAti		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|abch	vcp	H
537	agradAnin		text-attested	1		1	0	1	vcp|mw|ap|pw	vcp	ŚKDR
540	agraparRI		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RATNAM|ŚKDR
545	agraBuj		text-attested	1		1	1	0	mw|ap|pw		Ind
547	agramAMsa		kosa-corroborated	0		1	0	2	armh|vcp|mw|pw	armh|vcp	AK|ŚKDR
548	agrayAna		text-attested	1	bhs	1	0	2	vcp|mw|bhs|ap|pw|abch	vcp	H
552	agralohitA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|ŚKDR
553	agravIja		pwg-unique	0		0	0	0			H
555	agrasaMDAnI		dict-lexical	0		0	0	0	mw|ap		TRIK
559	agraha		text-attested	1		1	1	1	vcp|mw|ap|pw	vcp	TRIK
561	agrahAyaRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
566	agrAyaRIya		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
587	agresarika		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
593	aGana		kosa-corroborated	0		1	0	2	armh|vcp|mw|ap|pw	armh|vcp	H
605	aGAtin		dict-lexical	0		1	0	0	mw|pw		COLEBR
627	aNkatantra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	Verz
628	aNkati		kosa-corroborated	0		1	0	2	vcp|mw|pw|acph	acph|vcp	H|TRIK|ŚKDR
631	aNkapAdavrata		kosa-corroborated	0		0	0	1	vcp|mw	vcp	Verz
632	aNkapAli		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
633	aNkapAlikA		kosa-corroborated	0		1	0	1	skd|mw|pw		ŚABDAM|ŚKDR
637	aNkaloqya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
643	aNkI		kosa-corroborated	0		1	0	1	skd|mw|pw		ŚABDAR|ŚKDR
645	aNkuwa		kosa-corroborated	0		1	0	1	mw|pw|abch		H
648	aNkuraka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAM|ŚKDR
652	aNkuSadurDara		dict-lexical	0		1	0	0	mw|pw		TRIK
656	aNkUra		kosa-corroborated	0		1	1	3	armh|vcp|mw|pw|abch	armh|vcp	H
657	aNkUza		text-attested	1		1	1	1	vcp|mw|pw	vcp	ŚKDR
658	aNkowa		kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	RATNAM|TRIK|ŚKDR
661	aNkolaka		dict-lexical	0		0	0	0	mw		JAṬĀDH|ŚKDR
662	aNkolikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	ŚABDAM|ŚKDR
663	aNkollasAra		kosa-corroborated	0		1	0	1	mw|pw|abch		H
664	aNkya	1	kosa-corroborated	0		1	1	1	vcp|mw|ap|pw	vcp	AK|H|ŚKDR
673	aNgagraha		text-attested	1		1	0	1	vcp|mw|pw	vcp	ŚKDR
675	aNgajanus		dict-lexical	0		1	0	0	mw|pw		Verz
678	aNgati		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	MED|ŚABDAR|ŚKDR
684	aNganApriya		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚABDAM|ŚKDR
685	aNgapAli		kosa-corroborated	0		0	0	1	vcp|mw	vcp	TRIK
687	aNgamarda		text-attested	1		1	0	2	mw|pw|abch|nmmb	nmmb	H
688	aNgamardaka		dict-lexical	0		1	0	0	mw|pw		TRIK
689	aNgamardin		text-attested	1		0	0	1	armh|mw	armh	HALĀY|ŚKDR
691	aNgarakta		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAC|ŚKDR
692	aNgarakzaRI		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|abch	vcp	H
699	aNgaloqya		dict-lexical	0		1	1	0	mw|pw		RATNAM|ŚKDR
700	aNgava		kosa-corroborated	0		0	0	1	vcp|mw	vcp	ŚABDAC|ŚKDR
701	aNgavikfti		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
702	aNgavikzepa		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	AK|H
704	aNgavEkfta		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
705	aNgasaMskAra		kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	AK
706	aNgasaMskriyA		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|abch	vcp	H
707	aNgahAra		text-attested	1		1	1	3	armh|vcp|mw|pw|abch	armh|vcp	AK|H
708	aNgahAri		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK|ŚKDR
711	aNgADipa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
714	aNgArakamaRi		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
716	aNgArakuzWaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
717	aNgAraDAnikA		kosa-corroborated	0		1	0	1	skd|mw|pw	skd	AK
718	aNgAraDAnI		kosa-corroborated	0		0	0	2	vcp|mw|ap|abch	vcp	H
719	aNgAraparipAcita		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAC|ŚKDR
721	aNgArapAtrI		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|abch	vcp	H
722	aNgArapuzpa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RATNAM|ŚKDR
723	aNgAramaYjarI		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚKDR
724	aNgAramaYjI		kosa-corroborated	0		1	0	1	skd|mw|ap|pw		ŚABDAR|ŚKDR
725	aNgAravallarI		kosa-corroborated	0		1	0	1	skd|mw|ap|pw		AK|RĀJAN|WILS|ŚKDR
726	aNgAravallI		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	AK|RĀJAN|ŚKDR
728	aNgAraSakawI		kosa-corroborated	0		1	0	4	armh|vcp|skd|mw|ap|pw|abch	armh|skd|vcp	AK|H
730	aNgAri		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
731	aNgArikA		kosa-corroborated	0		0	0	2	vcp|skd|mw|ap	skd|vcp	H|MED
732	aNgAriRI		kosa-corroborated	0		0	0	2	vcp|skd|ap	skd|vcp	H|HĀR|MED|TRIK
733	aNgArita		text-attested	1		1	0	1	vcp|mw|ap|pw	vcp	H|HĀR|MED|TRIK|ebend|ŚKDR
736	aNgikA		kosa-corroborated	0		1	0	3	vcp|skd|mw|ap|pw|abch	skd|vcp	H
747	aNgIkAra		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
749	aNgIkfti		kosa-corroborated	0		1	0	1	armh|mw|pw	armh	AK
753	aNgurI		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	AK
759	aNgulitoraRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HĀR|WILSON|ŚKDR
763	aNgulimudrikA		kosa-corroborated	0		0	0	1	skd|mw|ap		AK|ŚKDR
764	aNgulimowana		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK|ŚKDR
766	aNgulisaMdeSa		dict-lexical	0		0	0	0	mw		HĀR
768	aNgulIka		pwg-unique	0		1	0	0	pw		TRIK|ŚKDR
769	aNgulIpaYcaka		kosa-corroborated	0		0	0	1	vcp|mw	vcp	RĀJAN|ŚKDR
772	aNgulIsaMBUta		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR
775	aNgUza		kosa-corroborated	0		0	1	1	vcp|mw	vcp	ŚKDR
781	aNGas		text-attested	1		1	1	1	vcp|mw|ap|pw	vcp	ŚKDR
783	aNGas		text-attested	1		1	1	1	vcp|mw|ap|pw	vcp	ŚKDR
785	aNGrinAmaka		dict-lexical	0		0	0	0	mw		AK|ŚKDR
786	aNGrinAman		dict-lexical	0		0	0	0	mw		H|ŚKDR
787	aNGripa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	H
788	aNGriparRI		kosa-corroborated	0		1	0	1	skd|mw|ap|pw		AK|ŚKDR
789	aNGrivalli		dict-lexical	0		0	0	0	mw		ŚKDR
790	aNGrivallikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	skd|vcp	AK
796	acaRqI		kosa-corroborated	0		1	0	3	armh|skd|mw|ap|pw|abch	armh|skd	AK|H
802	acalakIlA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	ŚABDAR|ŚKDR
803	acalatviz		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚABDAC|ŚKDR
804	acalaDfti		dict-lexical	0		1	0	0	mw|pw		COLEBR
805	acalaBrAtar		pwg-unique	0		1	0	0	pw		H
807	acalAsaptamI		dict-lexical	0		1	0	0	mw|pw		Verz
810	acikkaRa		kosa-corroborated	0		1	0	1	vcp|pw	vcp	AK
818	aciradyuti		dict-lexical	0		1	1	0	mw|pw		TRIK
822	acirarocis		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	JAṬĀDH|ŚKDR
823	acirAMSu		kosa-corroborated	0		1	0	2	armh|vcp|mw|ap|pw	armh|vcp	HALĀY|ŚKDR
825	acirABa		pwg-unique	0		0	0	0			HĀR
832	acezwatA		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
833	acEtanya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
838	acCaBalla		text-attested	1		1	0	1	mw|pw|abch		AK|H
841	acCAvAkaSastra		pwg-unique	0		0	0	0			Ind|Verz
846	acCidrakARqa		dict-lexical	0		1	0	0	mw|pw		Ind
852	acCupta		pwg-unique	0		0	0	0			H
856	acCowana		kosa-corroborated	0		0	0	1	armh	armh	H
860	acyutakfzRAnandatIrTa		pwg-unique	0		1	0	0	pw		COLEBR
863	acyutaja		kosa-corroborated	0		1	0	1	mw|pw|abch		H
864	acyutajallakin		dict-lexical	0		1	0	0	mw|ap|pw		AK|COLEBR
869	acyutAgraja		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
870	acyutopADyAya		dict-lexical	0		0	0	0	mw		COLEBR|WILS
876	ajakarRaka		dict-lexical	0		1	0	0	mw|pw		RĀJAN|ŚKDR
884	ajaganDikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	skd|vcp	AK
885	ajaganDinI		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RATNAM|ŚKDR
889	ajagAva		text-attested	1		1	0	2	vcp|mw|pw|acsj	acsj|vcp	H
892	ajajIvika		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
893	ajawA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap90|ap|pw	vcp	RĀJAN|ŚKDR
897	ajadaRqI		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|ŚKDR
898	ajadevatA		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	H
902	ajanAmaka		kosa-corroborated	0		1	0	1	mw|pw|abch		H|WILSON|ŚKDR
904	ajanya		text-attested	0	bhs	1	0	3	armh|vcp|mw|bhs|ap90|ap|pw|abch	armh|vcp	AK|H|HĀR
914	ajaBakza		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
919	ajameru		dict-lexical	0		0	0	0	mw		Ind
921	ajamodikA		kosa-corroborated	0		1	0	1	skd|mw|ap|pw		ŚKDR
922	ajamBa		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚABDAR|ŚKDR
925	ajayagarha		pwg-unique	0		1	0	0	pw		Z
934	ajalambana		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAC|ŚKDR
944	ajahatsvArTA		kosa-corroborated	0		0	1	2	vcp|skd|mw|ap90|ap	vcp	ŚKDR
945	ajahalliNga		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
946	ajahA		text-attested	1		0	0	2	vcp|skd|mw|ap90|ap	vcp	AK|ŚKDR
949	ajAgara		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	ŚABDAR|ŚKDR
952	ajAjIva		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|nmmb	armh|nmmb|vcp	AK|TRIK
956	ajAtAri		text-attested	1		1	0	0	mw|ap|pw		ŚKDR
960	ajAdanI		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|WILS|ŚKDR
963	ajAneya		kosa-corroborated	0		1	0	1	vcp|ap90|ap|pw	vcp	TRIK|ŚKDR
966	ajApAlaka		kosa-corroborated	0		0	0	1	vcp|mw	vcp	ŚABDAR|ŚKDR
976	ajitakeSakambala		text-attested	0	bhs	1	0	0	mw|bhs|pw		BURN
977	ajitabalA		kosa-corroborated	0		1	0	1	mw|ap|pw|abch		H
