k1	verdict	independent_hits	in_mw	kosa_hits	in_pw_same_source
Akulaka	pwg-unique				1
AkulatA	text-independent	ap90|ap	1		1
Akulay	pwg-unique				1
AkzArAnta	mw-only		1		1
AkzAraRA	text-independent	ap90|ap	1	skd	1
AkzIla	mw-only		1		1
AkzIva	text-independent	ap90		skd	
AkzapAwika	mw-only		1		1
Akzodana	mw-only		1		1
Akzowa	mw-only		1		1
AlAbu	mw-only		1		1
AlAsya	mw-only		1		1
AlAta	mw-only		1		1
AlAvarta	mw-only		1		1
AlInaka	mw-only		1		1
AlamandArastotra	pwg-unique				1
AlamarTya	mw-only		1		1
Alambi	mw-only		1		1
Alapana	mw-only		1		1
Alasa	text-independent	ap90|ap	1		1
Alasya	text-independent	ap90|ap	1		1
Alenarusa	pwg-unique				
Ali	text-independent	ap90|ap|bhs	1		1
AliNgin	text-independent	ap	1		1
AliYjara	mw-only		1		1
Alimpana	mw-only		1		1
Alin	text-independent	ap90|ap	1		1
Alinda	mw-only		1		1
Alindaka	pwg-unique				1
Aloha	pwg-unique				
AlokagadADarI	mw-only		1		
AlokamaTurAnATI	pwg-unique				1
Alokavant	pwg-unique				1
AlolacaturTI	pwg-unique				1
Alopa	text-independent	bhs	1		1
AmAnasya	mw-only		1		1
AmAtya	mw-only		1		1
AmIkzA	text-independent	ap90|ap	1	skd	1
AmIla	pwg-unique				1
AmaRqa	mw-only		1		1
AmaSrAdDa	mw-only		1		1
AmaganDi	text-independent	ap	1	skd	1
AmaganDika	mw-only		1		1
AmalISvaratIrTa	pwg-unique				1
Amali	pwg-unique				
Amana	mw-only		1		1
Amanasya	mw-only		1		1
Amardaka	mw-only		1		1
Amarza	mw-only		1		
AmavAta	mw-only		1		1
AmaviDi	mw-only		1		1
Amera	pwg-unique				
AmiSrIBUta	mw-only		1		1
Amizapriya	mw-only		1		1
AmlIkA	text-independent	ap90|ap	1	skd	1
Amla	mw-only		1		1
Amlavetasa	text-independent	bhs	1		1
AmlikA	text-independent	ap90|ap	1	skd	1
AmnAyarahasya	mw-only		1		1
AmodAyana	pwg-unique				1
Amoda	text-independent	ap90|ap	1		1
AmrAtakeSvara	mw-only		1		1
AmrAvarta	text-independent	ap	1		1
AmraganDaka	mw-only		1		1
AmrapeSI	text-independent	ap	1		
Amupa	mw-only		1		1
AnAka	pwg-unique				1
AnDIgava	mw-only		1		1
AnDasika	mw-only		1		1
AnDya	mw-only		1		1
AnadDa	text-independent	ap90|ap	1		1
AnandASrama	mw-only		1		1
AnandAcala	mw-only		1		1
AnandAtman	mw-only		1		1
AnandaBErava	text-independent	ap	1		1
AnandaTu	text-independent	ap	1		1
AnandaboDaparamahaMsa	pwg-unique				1
AnandaboDendra	mw-only		1		1
AnandacOla	mw-only		1		1
AnandacaturdaSI	pwg-unique				1
Anandadeva	mw-only		1		1
Anandagiri	mw-only		1		1
AnandajYAna	mw-only		1		1
Anandaja	text-independent	ap	1		1
Anandaka	text-independent	ap	1		1
Anandakanda	mw-only		1		1
AnandalaharI	text-independent	ap	1		1
AnandanATa	mw-only		1		1
AnandapUrRa	text-independent	ap	1		1
Anandapawa	mw-only		1		1
AnandapraBava	mw-only		1		1
Anandapura	mw-only		1		1
AnandarAma	pwg-unique				
AnandarAya	mw-only		1		1
AnandatIrTa	mw-only		1		1
AnandavallI	mw-only		1		1
Anandavana	mw-only		1		1
AnandavarDana	mw-only		1		1
Anandaveda	mw-only		1		1
Anandayoga	mw-only		1		1
AnandeSvaratIrTa	mw-only		1		1
Anandi	mw-only		1		1
AnantaryatftIyA	mw-only		1		1
AnartIya	text-independent	ap90|ap	1		1
Anataja	mw-only		1		1
Anaya	mw-only		1		1
Anayuga	pwg-unique				1
Andolaka	mw-only		1		1
Andolay	pwg-unique				1
AniDanaM	pwg-unique				
Anila	text-independent	ap90|ap	1		1
Anili	mw-only		1		1
AntaHpurika	text-independent	ap	1		1
AntaHpuritaka	pwg-unique				1
AntikA	text-independent	ap	1	skd	1
Antrika	text-independent	ap	1		1
AntyAyana	mw-only		1		1
AnupUrva	mw-only		1		1
Anurakti	mw-only		1		1
Anurohati	mw-only		1		1
AnuviDitsA	text-independent	ap90|ap	1	skd	1
Anvayika	text-independent	ap90|ap	1		1
ApAjiBawwa	pwg-unique				
ApAka	mw-only		1		1
ApAla	mw-only		1		1
ApAli	mw-only		1		1
ApAta	text-independent	ap90|ap	1		1
ApAtalikA	mw-only		1		
ApIta	text-independent	ap90|ap	1		1
ApUpya	mw-only		1		1
ApUza	mw-only		1		1
ApaBawwa	mw-only		1		1
ApadA	text-independent	ap90|ap|bhs	1	skd	1
Apadeva	mw-only		1		1
Apakva	text-independent	ap90|ap	1		1
Apala	mw-only		1		1
Apana	mw-only		1		1
Apanika	pwg-unique				1
Apas	text-independent	ap90|ap|gra	1		1
ApastamBinI	mw-only		1	skd	1
Apastamba	mw-only		1		1
Apastambi	mw-only		1		1
ApatAlikA	pwg-unique				
Apatika	text-independent	ap90|ap	1		1
ApfcCA	text-independent	ap90|ap	1	skd	1
ApiSAyana	pwg-unique				
Aplavavratin	text-independent	ap	1		1
Apluta	text-independent	ap90|ap	1		1
Aplutavratin	text-independent	ap	1		1
ApnavAna	mw-only		1		1
Apoklima	mw-only		1		1
AprI	text-independent	ap90|ap	1		1
ApracCana	mw-only		1		1
AptaBAva	mw-only		1		1
AptavajrasUci	mw-only		1		1
Apya	text-independent	ap90|ap|bhs|gra	1		1
AqU	mw-only		1		1
Aqambaravant	pwg-unique				1
Aqi	mw-only		1		1
ArADana	mw-only		1		1
ArAgra	text-independent	ap	1		1
ArAmAdipratizWApadDati	pwg-unique				1
ArAmaSItalA	text-independent	ap	1	skd	1
ArAmika	text-independent	bhs	1		1
ArAqa	text-independent	bhs	1		1
ArAti	text-independent	bhs	1		1
ArAtrika	mw-only		1		1
ArDaDAtukIya	mw-only		1		1
ArDamAsika	text-independent	ap	1		1
ArDarAtrika	mw-only		1		1
ArGA	text-independent	ap90|ap	1	skd	1
ArIhaRya	pwg-unique				
ArUQavant	pwg-unique				1
Ara	text-independent	bhs|gra	1		1
AraBawa	mw-only		1		1
AraBya	text-independent	ap90|ap|bhs	1		1
AraRAcCalA	pwg-unique				1
AraRaja	mw-only		1		1
AraRi	mw-only		1		1
AraRyagAna	mw-only		1		1
AraRyamudgA	text-independent	ap	1	skd	
AraRyarASi	mw-only		1		1
ArabDi	mw-only		1		1
AradeSa	pwg-unique				1
ArakUwa	mw-only		1		1
AramBa	text-independent	bhs	1		1
AranAlaka	mw-only		1		
Arati	text-independent	bhs	1		1
Arava	text-independent	ap90|ap	1		1
ArdrAlubDaka	mw-only		1		1
ArdrAnandakarItftIyA	pwg-unique				1
ArdraSAka	mw-only		1		1
ArdramAzA	text-independent	ap	1	skd	1
ArdrapawI	mw-only		1	skd	1
Areka	mw-only		1		1
Argala	mw-only		1		1
ArgbaDa	pwg-unique				
ArirADayizu	mw-only		1		1
Arjava	text-independent	bhs	1		1
Arjavin	mw-only		1		1
Arki	mw-only		1		1
AroDa	mw-only		1		1
ArogyaSAlA	text-independent	ap	1	skd	1
Arohaka	text-independent	ap90|ap	1		1
Arohin	text-independent	ap90|ap	1		1
ArtaBAga	mw-only		1		1
ArtaboDa	pwg-unique				1
Arti	mw-only		1		1
ArtveyI	mw-only		1		1
Artvija	pwg-unique				
Aru	text-independent	ap90|ap	1		1
AruRa	mw-only		1		1
AruRika	pwg-unique				
AruRyaka	mw-only		1		1
Aruka	mw-only		1		1
AryAcaRqItIrTa	mw-only		1		1
AryAgIti	mw-only		1		1
AryAsaNga	text-independent	bhs			1
AryAzwaSata	mw-only		1		1
AryaBawwa	mw-only		1		1
AryaSIla	text-independent	ap	1		1
Aryadeva	text-independent	bhs	1		1
Aryahala	pwg-unique				
AryamArga	mw-only		1		1
AryasaMGa	mw-only		1		1
Aryasatya	text-independent	bhs	1		1
AryasidDAnta	mw-only		1		1
ArzaBi	mw-only		1		1
ArzaMDara	mw-only		1		1
Arzika	pwg-unique				1
AsInagaraprAkArapraSasti	pwg-unique				
AsInapracalAyita	mw-only		1		1
AsPAla	mw-only		1		1
AsPotaka	mw-only		1		1
AsPowaka	text-independent	ap90|ap	1		1
AsPujit	text-independent	ap90|ap	1	skd	1
AsTA	text-independent	ap90|ap	1	skd	1
Asa	text-independent	bhs|gra	1	skd	1
AsaMsAra	text-independent	ap90|ap			
AsaNginI	text-independent	ap	1	skd	
Asana	mw-only		1		1
Asanna	text-independent	ap90|ap	1		1
Asavadru	mw-only		1		1
Asecana	text-independent	ap90|ap|gra	1		1
Asera	pwg-unique				
Asevana	mw-only		1		1
Asevya	mw-only		1		1
Asizira	pwg-unique				
Askandin	text-independent	ap	1		1
Askandita	mw-only		1		1
Askanditaka	mw-only		1		1
AsrAva	text-independent	ap90|ap	1		1
Asrapa	mw-only		1		1
AstArapaNkti	mw-only		1		1
AstIka	text-independent	ap90|ap	1		1
AstikArTada	mw-only		1		
AsurAyaRIya	mw-only		1		1
AsurAyaRa	mw-only		1		1
AsurIya	text-independent	ap90|ap	1		1
Asuri	mw-only		1		1
AsutIvala	mw-only		1		1
AsvadIya	pwg-unique				
AsyAsava	mw-only		1		1
Asya	text-independent	ap90|ap|gra	1		1
AsyalANgala	mw-only		1		1
Asyaloman	text-independent	ap	1		1
Asyapatra	pwg-unique				
AtApin	text-independent	ap90|ap|bhs	1		1
AtAra	mw-only		1		1
AtAyin	text-independent	ap90|ap	1		1
AtaNkapratimA	pwg-unique				1
AtaNkita	pwg-unique				
AtapABAva	pwg-unique				
Atapatraka	pwg-unique				1
Atara	mw-only		1		1
AtarpaRa	mw-only		1		1
Atfpya	mw-only		1		1
AtmADIna	text-independent	ap	1		1
AtmAnAtmavicAra	pwg-unique				1
AtmAnuSAsana	pwg-unique				1
AtmaBAva	text-independent	bhs	1		1
AtmaBava	mw-only		1		1
AtmaGAtaka	mw-only		1		1
AtmaGoza	mw-only		1		1
AtmaSaMsA	pwg-unique				1
AtmaSalyA	text-independent	ap	1	skd	1
AtmabanDu	mw-only		1		1
AtmaboDa	mw-only		1		1
AtmacCandatIrTa	mw-only		1		1
Atmagupti	mw-only		1		1
AtmaliNgapUjApadDati	pwg-unique				1
AtmamUlI	text-independent	ap	1	skd	1
Atmamaya	mw-only		1		1
AtmapraboDa	mw-only		1		1
AtmaprakASa	mw-only		1		1
AtmapravAda	mw-only		1		1
AtmapurARa	pwg-unique				1
AtmarAmayogendra	pwg-unique				1
AtmarakzA	text-independent	ap	1	skd	1
AtmasaMpanna	text-independent	ap			1
AtmasuKa	text-independent	ap	1		1
Atmatattva	mw-only		1		1
AtmatattvapravoDa	pwg-unique				
Atmatattvaviveka	mw-only		1		
Atmatva	mw-only		1		1
AtmavIra	text-independent	ap	1		1
Atmavant	pwg-unique				1
AtmecCA	mw-only		1		1
AtmopadeSa	pwg-unique				1
Atmopanizad	text-independent	ap	1		1
Atra	mw-only		1		1
AtreyikA	text-independent	ap90|ap	1	skd	1
Attagarva	mw-only		1		1
Attamanaska	text-independent	bhs	1		1
Atu	mw-only		1		1
AvAla	mw-only		1		1
AvApaka	mw-only		1		1
AvApana	mw-only		1		1
AvAsita	pwg-unique				1
AvIra	pwg-unique				
Avaneya	mw-only		1		1
AvantI	mw-only		1		
AvaraRa	text-independent	ap90|ap|bhs	1		1
AvartanamaRi	mw-only		1		
AvartinI	text-independent	ap	1		
Avasita	text-independent	ap90|ap	1		1
Avawika	mw-only		1		1
AveRika	text-independent	bhs	1		1
AveSika	text-independent	ap90|ap	1		1
Avezwaka	mw-only		1		1
Avft	text-independent	ap90|ap|gra	1	skd	1
AviDa	text-independent	ap90|ap	1		1
AvidDa	text-independent	ap90|ap|bhs	1		1
AvidDavaktra	pwg-unique				1
Avigna	text-independent	ap90|ap	1		1
Avija	pwg-unique				1
Avilakanda	mw-only		1		1
AvizwaliNga	text-independent	ap	1		1
Avuka	mw-only		1		1
AwIkana	mw-only		1		1
AwIkara	mw-only		1		1
AwIlaka	mw-only		1		1
Awikya	text-independent	ap90|ap			1
Awopa	mw-only		1		1
AyAjiBawwa	pwg-unique				1
AyAma	mw-only		1		1
AyAsaka	text-independent	ap90|ap	1		1
AyaTAtaTya	mw-only		1		1
Ayallaka	mw-only		1		1
AyasTURa	pwg-unique				
AyaskAra	mw-only		1		1
AyaskAri	mw-only		1		1
AyatacCadA	text-independent	ap	1	skd	1
Ayava	mw-only		1		1
AyoBavya	pwg-unique				1
AyoDeya	pwg-unique				1
Ayojana	mw-only		1		1
Ayuktaka	mw-only		1		1
AyurdA	mw-only		1		1
AyurdAya	mw-only		1		1
Ayurdravya	mw-only		1		1
Ayurveda	mw-only		1		1
Ayurvedin	text-independent	ap	1		1
Ayuryoga	mw-only		1		1
Ayus	text-independent	ap90|ap|gra	1		1
AyuzkAmIya	pwg-unique				1
Ayuzka	mw-only		1		1
Ayuzmant	pwg-unique				1
AzAQABU	mw-only		1		1
AzAQaBava	text-independent	ap	1		1
BANgaka	text-independent	bhs	1		1
BARasTAna	mw-only		1		
BARqAra	mw-only		1		1
BARqArika	text-independent	ap	1		1
BARqArin	text-independent	ap	1		1
BARqaBajaka	mw-only		1		1
BARqagopaka	mw-only		1		1
BARqapratiBARqaka	mw-only		1		1
BARqapuwa	mw-only		1		1
BARqapuzpa	mw-only		1		1
BARqika	mw-only		1		1
BARqila	mw-only		1		1
BARqivAha	mw-only		1		1
BASataka	pwg-unique				
BAdiga	mw-only		1		1
BAgAnubanDajAti	mw-only		1		1
BAgApahArajAti	pwg-unique				
BAgArha	text-independent	ap	1		
BAgAsura	mw-only		1		1
BAgahAra	mw-only		1		1
BAgajAti	mw-only		1		1
BAgavatAmfta	mw-only		1		1
BAgavataBAvArTadIpikA	pwg-unique				1
BAgavatasArasamuccaya	mw-only		1		1
BAgavatatAtparya	mw-only		1		1
BAgineyaka	mw-only		1		1
BAjaka	text-independent	bhs	1		1
BAkUwa	mw-only		1		1
BAkoSa	mw-only		1		1
BAkuwa	pwg-unique				1
BAlANka	mw-only		1		1
BAlacandra	mw-only		1		1
BAladarSana	mw-only		1		1
BAladfS	text-independent	ap	1		1
BAlakft	mw-only		1		1
BAlalocana	mw-only		1		1
BAlayAnandAcArya	mw-only		1		1
BAllUka	mw-only		1		1
BAlluka	mw-only		1		1
BAluka	mw-only		1		1
BAlukin	mw-only		1		1
BAmaRqala	mw-only		1		1
BAmaha	mw-only		1		1
BAmatI	mw-only		1		1
BAmatInibanDa	pwg-unique				1
BAmin	text-independent	ap90|ap|gra	1		1
BAminIvilAsa	mw-only		1		1
BAna	text-independent	bhs	1		1
BAnavIya	mw-only		1		1
BAnda	mw-only		1		1
BAnemi	mw-only		1		1
BAnuBawwa	pwg-unique				1
BAnuPalA	text-independent	ap	1	skd	1
BAnudIkzita	pwg-unique				1
BAnudatta	mw-only		1		1
BAnudina	mw-only		1		1
BAnujIdIkzita	pwg-unique				1
BAnuja	mw-only		1		1
BAnukesara	mw-only		1		1
BAnupaRqita	mw-only		1		1
BAnuvAra	mw-only		1		1
BArAkrAnta	text-independent	ap	1		1
BArRikArdami	mw-only		1		1
BAraBUtitIrTa	mw-only		1		1
BAradvAjaka	mw-only		1		1
BArahArika	mw-only		1		1
BArahara	mw-only		1		1
BAratAcArya	mw-only		1		1
BAratArTadIpikA	mw-only		1		1
BAratArTaprakASa	mw-only		1		1
BAratISrInfsiMha	mw-only		1		1
BAratIcandra	mw-only		1		1
BAratIkavi	mw-only		1		1
BAratItIrTa	mw-only		1		1
BAratIyati	mw-only		1		1
BArataBAvadIpa	mw-only		1		1
BAratasaMgrahadIpikA	mw-only		1		1
BAratatAtparyanirRaya	mw-only		1		1
BAravAhana	mw-only		1		1
BAravAhika	mw-only		1		1
BAravAhin	mw-only		1		1
BArava	mw-only		1		1
BAravfkza	mw-only		1		1
BAravi	text-independent	ap90	1		1
BAraya	mw-only		1		1
BArayazwi	mw-only		1		1
BArdvAjI	mw-only		1	skd	1
BArgaSrIkAntamiSra	mw-only		1		1
BArgaleSvaratIrTa	mw-only		1		1
BArgavArcanadIpikA	mw-only		1		1
BArgavIya	mw-only		1		1
BArgavadIpikA	mw-only		1		1
BArgavapriya	mw-only		1		1
BAri	mw-only		1		1
BAropajIvana	mw-only		1		1
BAruci	mw-only		1		1
BAryADikArika	mw-only		1		1
BAryAru	mw-only		1		1
BAryAvant	pwg-unique				1
BAryAvfkza	mw-only		1		1
BAryAwa	text-independent	ap	1		1
BAryAwika	mw-only		1		1
BAsAy	pwg-unique				1
BAsarvajYa	mw-only		1		1
BAskarAcArya	mw-only		1		1
BAskaraBawwa	pwg-unique				
BAskaraSarman	mw-only		1		1
BAskaramiSra	pwg-unique				
BAskaranfsiMha	mw-only		1		1
BAskarapriya	mw-only		1		1
BAskaravrata	mw-only		1		1
BAskarezwA	mw-only		1	skd	1
BAsu	mw-only		1		1
BAsurapuzpA	mw-only		1	skd	1
BAsvatIkaraRa	mw-only		1		1
BAsya	mw-only		1		1
BAvAgaReSadIkzita	mw-only		1		1
BAvAkUta	mw-only		1		1
BAvAlInA	text-independent	ap	1	skd	1
BAvAnugA	text-independent	ap	1	skd	1
BAvArTadIpikA	mw-only		1		1
BAvAva	text-independent	ap90|ap	1		1
