catalog_id,fidelity,books,script,text
C0053,orthographic,buhler+knauer,deva,धर्माय देवान्यजावहा अर्थाय कीर्तये च सभासु पण्डितैः सह विवदावहा इति ब्राह्मणस्य पुत्रयोर्निश्चयः
C0054,identical,buhler+knauer,deva,नरैः कटाः क्रियन्ते
C0055,identical,buhler+kochergina,deva,नीचाः कलहमिच्छन्ति शान्तिमिच्छन्ति साधवः
C0056,identical,buhler+knauer,deva,नौषु नृणां युद्धमभवत्
C0057,identical,buhler+knauer,deva,पथ्यस्माकं रथो भग्नः
C0058,identical,buhler+knauer+kochergina,deva,पद्मं श्रिया वसतिः
C0059,identical,buhler+knauer,deva,पापाः कर्मणां विपाकेन द्वितीये जन्मनि तिर्यक्षु जायन्त इति स्मृतिः
C0060,orthographic,buhler+knauer,deva,पुरि वास्तडागान्नाल्या पार्थिवो ऽनाययत्
C0061,orthographic,buhler+knauer,deva,प्रद्विषतीं भार्यां किं मां द्वेक्षीत्यब्रवीत्पतिः
C0062,identical,buhler+knauer,deva,प्रभूतः काष्ठानां भारो नरेणोह्यते
C0063,modified,buhler+kochergina,deva,प्रयागं गच्छतं सुखेन च तत्र निवसतम्
C0064,orthographic,buhler+knauer,deva,प्राचां देशे पाटलिपुत्रं नाम महन्नगरं विद्यत उदीचां तक्षशिला प्रतीचां भृगुकच्छम्
C0065,orthographic,buhler+kochergina,deva,बालो गुरवे पत्त्रं लिखति
C0066,identical,buhler+knauer,deva,ब्रह्मा जगतः स्रष्टा वेदेषु श्रूयते
C0067,orthographic,buhler+knauer+kochergina,deva,भर्तारं भर्तुश्च पितरं मातरं च पत्नी देवानिव पूजयेत्
C0068,identical,buhler+knauer,deva,भ्रातरो ऽस्मान्नगरं प्रास्थापयन्
C0069,identical,buhler+kochergina,deva,मक्षिका व्रणमिच्छन्ति धनमिच्छन्ति पार्थिवाः
C0070,identical,buhler+knauer+kochergina,deva,मधुना क्षीरेण च तुष्यन्ति बालाः
C0071,identical,buhler+knauer,deva,मन्त्रिणः स्वामिने कदापि न द्रुह्येयुः
C0072,identical,buhler+knauer,deva,मयि त्वयि च पितरौ स्निह्यतः
C0073,orthographic,buhler+knauer,deva,महोदधिमध्ये शेषनागमधिशयानो विष्णुः सुखं स्वपिति
C0074,orthographic,buhler+knauer,deva,मुक्तय ईश्वरः सृष्टेः कर्ता मनुष्यैर्भक्त्या सेव्यताम्
C0075,identical,buhler+knauer,deva,मोक्षाय ज्ञानं यज्ञेभ्यः साधीय इति पुराणैरुक्तम्
C0076,orthographic,buhler+knauer,deva,यथा वातो बलेन वृक्षान्भनक्त्येवं त्वं मे द्विषो भङ्ग्धि
C0077,identical,buhler+kochergina,deva,यदि शास्त्रमभ्यस्येयं तदा गुरवस्तुष्येयुः
C0078,modified,buhler+knauer,deva,यस्मान्महिषासुरात्सर्वे ऽपि देवा अबिभयुस्तं शिवस्य पत्नी पर्वती न्यहन्
C0079,identical,buhler+knauer,deva,या देवकी वसुदेवस्य पत्न्यभवत्तस्यां कृष्णो ऽजायत
C0080,orthographic,buhler+knauer,deva,यानि कर्माण्यस्मिँल्लोके क्रियन्ते तेषां फलं कर्त्रामुष्मिँल्लोक उपभुज्यन्ते
C0081,identical,buhler+knauer,deva,यावन्ति हतस्य पशोश्चर्मणि लोमानि विद्यन्ते तावन्ति वर्षाणि हन्ता नरके वसेत्
C0082,identical,buhler+knauer,deva,युष्मन्मम दुःखं भवति
C0083,identical,buhler+knauer,deva,रामः क्षत्रियान्परशुनाक्राम्यति
C0084,identical,buhler+knauer,deva,लोकस्य स्रष्टृभ्यो वसूनां दातृभ्यो देवेभ्यो नमो नमः
C0085,identical,buhler+kochergina,deva,लोभात्क्रोधः प्रभवति लोभात्कामः प्रजायते
C0086,identical,buhler+kochergina,deva,लोभान्मोहश्च नाशश्च लोभः पापस्य कारणम्
C0087,orthographic,buhler+knauer,deva,वध्वाः स्निह्यत्यृषिः
C0088,orthographic,buhler+knauer,deva,वनवृक्षान्धुन्वानस्य वायोः शब्दं पथा गच्छन्तावशृणुव
C0089,identical,buhler+knauer,deva,वायोर्बलेन तरवो ऽपात्यन्त
C0090,identical,buhler+kochergina,deva,विद्वांसो विद्वद्भिः सह समागमाय स्पृहयन्ति
C0091,identical,buhler+knauer,deva,विष्णुमृषिर्यजति नृपाय
C0092,orthographic,buhler+kochergina,deva,वैश्याः कृष्या वाणिज्येन पाशुपाल्येन वा वर्तेरन्
C0093,orthographic,buhler+kochergina,deva,व्याधितस्यौषधं पथ्यं नीरुजस्तु किमौषधैः
C0094,identical,buhler+kochergina,deva,शरदि कासुचित्सरित्सु पद्मानि दृश्यन्ते
C0095,identical,buhler+knauer,deva,शान्त्यर्षय इह शोभन्ते
C0096,identical,buhler+kochergina,deva,शास्त्रस्य कर्त्रे पाणिनये नमः
C0097,orthographic,buhler+knauer,deva,शास्त्रे अधुना शिक्षामह इति पत्त्रे हरिर्लिखति
C0098,orthographic,buhler+knauer,deva,श्रीमतो राज्ञः संमतैरेभिः कविभिरिष्टानि वसूनि लब्धानि
C0099,identical,buhler+knauer,deva,श्रीविक्रमादित्यादनन्तरं पञ्चपञ्चाशोत्तरे शततमे संवत्सरे शकानां राजाभिषिक्तः
C0100,identical,buhler+knauer,deva,श्वभिर्गृहीतो हरिणो व्याधैर्व्यापादितः
C0101,identical,buhler+knauer,deva,श्वश्र्वाः कोपाच्छोचतः स्नुषे
C0102,orthographic,buhler+kochergina,deva,ष षट्त्रिंशत्
C0103,identical,buhler+knauer,deva,संदिग्धां नावं नारोहेत्
C0104,orthographic,buhler+knauer,deva,सर्वासु दिक्षु स्वैरं चरितुं यज्ञियो ऽश्वो भवद्भिर्माेक्तव्य इति राज्ञादिश्यत
C0105,orthographic,buhler+knauer+kochergina,deva,सर्वे पौराः कालिदासेन रचितं नाटकं द्रष्टुमागच्छन्
C0106,orthographic,buhler+knauer,deva,सुन्दरि समाश्वसिहि समाश्वसिहीति भयनिमीलिताक्षीमुर्वशीं पुरूरवा अब्रवीत्
C0107,orthographic,buhler+knauer,deva,सूत अधुना स्थापय रथम्
C0108,orthographic,buhler+knauer,deva,स्त्री पत्ये रूपकाण्यर्पयति
C0109,identical,buhler+knauer,deva,स्नुषाभिः सह श्वश्रूणां कलहः प्रावर्तत
C0110,identical,buhler+knauer,deva,स्रग्भिरुपानद्भ्यां समेताः शिष्या गुरुं नोपतिष्ठेरन्
C0111,identical,buhler+knauer,deva,स्वयंभुवा जगत्स्रष्टुं मनः कृतम्
C0112,identical,buhler+knauer,deva,स्वर्गं लब्धुं भूयसो यज्ञान्यष्टुमर्हसि
C0113,modified,buhler+knauer,deva,हन्वामश्वाल्लँँघ्वा यष्ट्याताडयम्
C0114,modified,buhler+knauer,deva,हृद्येष पुमान्परं ब्रह्म ध्यायति
C0115,identical,buhler+knauer,deva,हे वधु वाप्या जलमानय
C0116,identical,buhler+knauer,deva,हे शिशवः पितॄन्सेवध्वं भ्रातॄणां स्निह्यत
C0117,orthographic,buhler+knauer,deva,हे शिष्या गुरुणाहूयध्वे
C0118,identical,buhler+knauer+kochergina,deva,हे स्वसः पित्रोर्गृहे तिष्ठेः
C0119,modified,buhler+knauer,deva,ा पीत्वा चैते नरः सुप्ताः
C0120,orthographic,knauer+kochergina,iast,gāraḥ çītaḥ kṛṣṇāyate karam
C0121,modified,knauer+kochergina,deva,नानुज्ञातो जगाम स्वनगरं तत्र च रेमे सह पत्न्या
C0122,identical,knauer+kochergina,deva,पतिं द्रक्ष्यसि कल्याणि क्षिप्रम्
C0123,identical,knauer+kochergina,deva,प्रयागे गङ्गा यमुनया संगछते
C0124,orthographic,knauer+kochergina,deva,मस्य रथ्यासु गजा भ्राम्यन्ति
