idx	run	chapter	cluster	type	severity	triage	rule	status
67	gasuns2026-25-zakl-01	zakl	Д2	logical_gap	major	APPLY	R5	human_judgment
68	gasuns2026-25-zakl-01	zakl	Д1	terminology	minor	APPLY	R5	human_judgment
69	gasuns2026-10-glava1-03	glava1	Д1	anachronistic_sanskrit_period	major	APPLY	R6	safe_apply
70	gasuns2026-10-glava1-03	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
71	gasuns2026-10-glava1-03	glava1	Д4	missing_sutra_reference	major	SKIP	R3	human_judgment
72	gasuns2026-10-glava1-03	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
73	gasuns2026-10-glava1-03	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
74	gasuns2026-10-glava1-03	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
75	gasuns2026-23-glava3-06	glava3	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
76	gasuns2026-23-glava3-06	glava3	Д1	missing_iast_on_first_mention	major	APPLY	R6	safe_apply
77	gasuns2026-23-glava3-06	glava3	Д1	missing_iast_on_first_mention	major	APPLY	R6	safe_apply
78	gasuns2026-23-glava3-06	glava3	Д1	missing_iast_on_first_mention	major	APPLY	R6	safe_apply
79	gasuns2026-23-glava3-06	glava3	Д1	missing_iast_on_first_mention	major	APPLY	R6	safe_apply
80	gasuns2026-23-glava3-06	glava3	Д2	inconsistency	major	APPLY	R6	safe_apply
81	gasuns2026-23-glava3-06	glava3	Д4	missing_source	minor	SKIP	R3	human_judgment
82	gasuns2026-09-glava1-02	glava1	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
83	gasuns2026-09-glava1-02	glava1	Д4	missing_source	minor	SKIP	R3	human_judgment
84	gasuns2026-09-glava1-02	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
85	gasuns2026-09-glava1-02	glava1	Д4	missing_source	minor	SKIP	R3	human_judgment
86	gasuns2026-09-glava1-02	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
87	gasuns2026-09-glava1-02	glava1	Д2	logical_inconsistency	major	APPLY	R6	safe_apply
88	gasuns2026-03-vvedenie-03	vvedenie	Д1	missing_iast_on_first_mention	minor	APPLY	R5	human_judgment
89	gasuns2026-03-vvedenie-03	vvedenie	Д5	commentary_function_gap	major	SKIP	R2	not_applicable
90	gasuns2026-03-vvedenie-03	vvedenie	Д1	missing_iast_on_first_mention	minor	APPLY	R5	human_judgment
91	gasuns2026-03-vvedenie-03	vvedenie	Д5	missing_alternative_interpretation	major	SKIP	R2	not_applicable
92	gasuns2026-03-vvedenie-03	vvedenie	Д3	unsupported_reading	minor	SOFTEN	R5	human_judgment
93	gasuns2026-03-vvedenie-03	vvedenie	Д2	clarity	minor	APPLY	R5	human_judgment
94	gasuns2026-07-obzor-04	obzor	Д3	unsupported_semantization	major	SOFTEN	R4	already_addressed
95	gasuns2026-07-obzor-04	obzor	Д5	commentary_function_gap	major	SKIP	R2	not_applicable
96	gasuns2026-07-obzor-04	obzor	Д5	missing_commentary_layer	major	SKIP	R2	not_applicable
97	gasuns2026-07-obzor-04	obzor	Д5	missing_apparatus	minor	SKIP	R2	not_applicable
98	gasuns2026-07-obzor-04	obzor	Д2	clarity_of_explanation	minor	APPLY	R1	already_addressed
99	gasuns2026-13-glava2-02	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
100	gasuns2026-13-glava2-02	glava2	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
101	gasuns2026-13-glava2-02	glava2	Д4	missing_source	minor	SKIP	R3	human_judgment
102	gasuns2026-13-glava2-02	glava2	Д4	missing_source	minor	SKIP	R3	human_judgment
103	gasuns2026-13-glava2-02	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
104	gasuns2026-24-glava3-07	glava3	Д3	weak_genre_framing	minor	SOFTEN	R6	safe_apply
105	gasuns2026-24-glava3-07	glava3	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
106	gasuns2026-24-glava3-07	glava3	Д1	missing_iast_on_first_mention	major	APPLY	R6	safe_apply
107	gasuns2026-24-glava3-07	glava3	Д5	missing_alternative_interpretation	major	SKIP	R2	not_applicable
108	gasuns2026-24-glava3-07	glava3	Д4	missing_source	major	SKIP	R3	human_judgment
109	gasuns2026-25-zakl-01	zakl	Д5	missing_authority_chain	minor	SKIP	R2	not_applicable
110	gasuns2026-25-zakl-01	zakl	Д4	unattributed_commentary	minor	SKIP	R3	human_judgment
111	gasuns2026-25-zakl-01	zakl	Д4	missing_source	major	SKIP	R3	human_judgment
112	gasuns2026-25-zakl-01	zakl	Д5	missing_apparatus	major	SKIP	R2	not_applicable
113	gasuns2026-25-zakl-01	zakl	Д4	missing_source	major	SKIP	R3	human_judgment
114	gasuns2026-28-art-vargi-01	art	Д3	weak_genre_framing	minor	SOFTEN	R5	human_judgment
115	gasuns2026-28-art-vargi-01	art	Д5	missing_commentary_layer	minor	SKIP	R2	not_applicable
116	gasuns2026-28-art-vargi-01	art	Д3	unsupported_semantization	major	SOFTEN	R5	human_judgment
117	gasuns2026-28-art-vargi-01	art	Д4	missing_source	major	SKIP	R3	human_judgment
118	gasuns2026-28-art-vargi-01	art	Д2	logical_consistency	major	APPLY	R1	already_addressed
119	gasuns2026-03-vvedenie-03	vvedenie	Д4	missing_source	minor	SKIP	R3	human_judgment
120	gasuns2026-03-vvedenie-03	vvedenie	Д3	weak_genre_framing	major	SOFTEN	R5	human_judgment
121	gasuns2026-03-vvedenie-03	vvedenie	Д4	missing_source	major	SKIP	R3	human_judgment
122	gasuns2026-03-vvedenie-03	vvedenie	Д4	missing_source	major	SKIP	R3	human_judgment
123	gasuns2026-03-vvedenie-03	vvedenie	Д4	missing_source	major	SKIP	R3	human_judgment
124	gasuns2026-11-glava1-04	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
125	gasuns2026-11-glava1-04	glava1	Д5	missing_authority_chain	minor	SKIP	R2	not_applicable
126	gasuns2026-11-glava1-04	glava1	Д1	mistranslated_native_term	major	APPLY	R6	safe_apply
127	gasuns2026-11-glava1-04	glava1	Д5	missing_apparatus	major	SKIP	R2	not_applicable
128	gasuns2026-11-glava1-04	glava1	Д4	missing_source	minor	SKIP	R3	human_judgment
129	gasuns2026-17-glava2-06	glava2	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
130	gasuns2026-17-glava2-06	glava2	Д5	missing_commentary_layer	minor	SKIP	R2	not_applicable
131	gasuns2026-17-glava2-06	glava2	Д3	unsupported_semantization	minor	SOFTEN	R4	already_addressed
132	gasuns2026-17-glava2-06	glava2	Д3	unsupported_reading	minor	SOFTEN	R4	already_addressed
133	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
134	gasuns2026-17-glava2-06	glava2	Д5	commentary_function_gap	moderate	SKIP	R2	not_applicable
135	gasuns2026-17-glava2-06	glava2	Д4	missing_source	minor	SKIP	R3	human_judgment
136	gasuns2026-17-glava2-06	glava2	Д3	unsupported_semantization	minor	SOFTEN	R4	already_addressed
137	gasuns2026-17-glava2-06	glava2	Д5	missing_apparatus	major	SKIP	R2	not_applicable
138	gasuns2026-17-glava2-06	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
139	gasuns2026-23-glava3-06	glava3	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
140	gasuns2026-23-glava3-06	glava3	Д4	missing_sutra_reference	major	SKIP	R3	human_judgment
141	gasuns2026-23-glava3-06	glava3	Д5	missing_commentary_layer	minor	SKIP	R2	not_applicable
142	gasuns2026-23-glava3-06	glava3	Д3	unsupported_semantization	minor	SOFTEN	R6	safe_apply
143	gasuns2026-23-glava3-06	glava3	Д2	inconsistency	major	APPLY	R6	safe_apply
144	gasuns2026-23-glava3-06	glava3	Д3	lack_of_evidence	minor	SOFTEN	R6	safe_apply
145	gasuns2026-09-glava1-02	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
146	gasuns2026-09-glava1-02	glava1	Д5	unsupported_sanskit_etymology	major	SKIP	R2	not_applicable
147	gasuns2026-09-glava1-02	glava1	Д4	missing_source	minor	SKIP	R3	human_judgment
148	gasuns2026-09-glava1-02	glava1	Д3	weak_parallel	minor	SOFTEN	R6	safe_apply
149	gasuns2026-09-glava1-02	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
150	gasuns2026-09-glava1-02	glava1	Д5	missing_context_of_hymn	minor	SKIP	R2	not_applicable
151	gasuns2026-09-glava1-02	glava1	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
152	gasuns2026-09-glava1-02	glava1	Д4	missing_source	minor	SKIP	R3	human_judgment
153	gasuns2026-09-glava1-02	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
154	gasuns2026-09-glava1-02	glava1	Д4	missing_source	minor	SKIP	R3	human_judgment
155	gasuns2026-12-glava2-01	glava2	Д4	missing_source	major	SKIP	R3	human_judgment
156	gasuns2026-12-glava2-01	glava2	Д5	missing_authority_chain	minor	SKIP	R2	not_applicable
157	gasuns2026-12-glava2-01	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R1	already_addressed
158	gasuns2026-12-glava2-01	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R1	already_addressed
159	gasuns2026-12-glava2-01	glava2	Д5	unsupported_etymology	minor	SKIP	R2	not_applicable
160	gasuns2026-19-glava3-02	glava3	Д1	anachronistic_sanskrit_period	major	APPLY	R6	safe_apply
161	gasuns2026-19-glava3-02	glava3	Д5	commentary_function_gap	major	SKIP	R2	not_applicable
162	gasuns2026-19-glava3-02	glava3	Д3	unsupported_semantization	major	SOFTEN	R6	safe_apply
163	gasuns2026-19-glava3-02	glava3	Д2	logical_inconsistency	major	APPLY	R6	safe_apply
164	gasuns2026-24-glava3-07	glava3	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
165	gasuns2026-24-glava3-07	glava3	Д4	unattributed_commentary	major	SKIP	R3	human_judgment
166	gasuns2026-24-glava3-07	glava3	Д1	mistranslated_native_term	major	APPLY	R6	safe_apply
167	gasuns2026-24-glava3-07	glava3	Д3	unsupported_semantization	minor	SOFTEN	R6	safe_apply
168	gasuns2026-24-glava3-07	glava3	Д2	imprecise_formulation	minor	APPLY	R6	safe_apply
169	gasuns2026-24-glava3-07	glava3	Д5	commentary_function_gap	major	SKIP	R2	not_applicable
170	gasuns2026-24-glava3-07	glava3	Д4	unattributed_commentary	minor	SKIP	R3	human_judgment
171	gasuns2026-24-glava3-07	glava3	Д4	missing_sutra_reference	major	SKIP	R3	human_judgment
172	gasuns2026-24-glava3-07	glava3	Д3	unsupported_semantization	minor	SOFTEN	R6	safe_apply
173	gasuns2026-24-glava3-07	glava3	Д2	logical_gap	major	APPLY	R6	safe_apply
174	gasuns2026-01-vvedenie-01	vvedenie	Д5	missing_context_of_hymn	major	SKIP	R2	not_applicable
175	gasuns2026-01-vvedenie-01	vvedenie	Д1	missing_iast_on_first_mention	minor	APPLY	R1	already_addressed
176	gasuns2026-01-vvedenie-01	vvedenie	Д1	missing_iast_on_first_mention	major	APPLY	R1	already_addressed
177	gasuns2026-01-vvedenie-01	vvedenie	Д3	unsupported_reading	major	SOFTEN	R5	human_judgment
178	gasuns2026-05-obzor-02	obzor	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
179	gasuns2026-05-obzor-02	obzor	Д4	missing_sutra_reference	major	SKIP	R3	human_judgment
180	gasuns2026-05-obzor-02	obzor	Д5	missing_apparatus	minor	SKIP	R2	not_applicable
181	gasuns2026-05-obzor-02	obzor	Д2	logical_inconsistency	major	APPLY	R4	already_addressed
182	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R1	already_addressed
183	gasuns2026-06-obzor-03	obzor	Д5	missing_tradition_context	minor	SKIP	R2	not_applicable
184	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
185	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
186	gasuns2026-06-obzor-03	obzor	Д5	missing_apparatus	minor	SKIP	R2	not_applicable
187	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
188	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
189	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
190	gasuns2026-06-obzor-03	obzor	Д3	weak_parallel	minor	SOFTEN	R4	already_addressed
191	gasuns2026-06-obzor-03	obzor	Д2	logical_consistency	major	APPLY	R1	already_addressed
192	gasuns2026-07-obzor-04	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
193	gasuns2026-07-obzor-04	obzor	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
194	gasuns2026-07-obzor-04	obzor	Д3	unsupported_reading	major	SOFTEN	R4	already_addressed
195	gasuns2026-07-obzor-04	obzor	Д2	logical_consistency	major	APPLY	R4	already_addressed
196	gasuns2026-07-obzor-04	obzor	Д5	missing_context_of_hymn	minor	SKIP	R2	not_applicable
197	gasuns2026-07-obzor-04	obzor	Д5	missing_authority_chain	minor	SKIP	R2	not_applicable
198	gasuns2026-07-obzor-04	obzor	Д4	missing_sutra_reference	minor	SKIP	R3	human_judgment
199	gasuns2026-07-obzor-04	obzor	Д4	missing_source	minor	SKIP	R3	human_judgment
200	gasuns2026-07-obzor-04	obzor	Д2	clarity_of_explanation	minor	APPLY	R1	already_addressed
201	gasuns2026-13-glava2-02	glava2	Д5	missing_context_of_hymn	medium	SKIP	R2	not_applicable
202	gasuns2026-13-glava2-02	glava2	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
203	gasuns2026-13-glava2-02	glava2	Д5	missing_alternative_interpretation	minor	SKIP	R2	not_applicable
204	gasuns2026-13-glava2-02	glava2	Д3	unsupported_reading	minor	SOFTEN	R4	already_addressed
205	gasuns2026-13-glava2-02	glava2	Д5	historical_continuity	major	SKIP	R2	not_applicable
206	gasuns2026-14-glava2-03	glava2	Д3	unsupported_semantization	major	SOFTEN	R4	already_addressed
207	gasuns2026-14-glava2-03	glava2	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
208	gasuns2026-14-glava2-03	glava2	Д3	weak_genre_framing	minor	SOFTEN	R4	already_addressed
209	gasuns2026-14-glava2-03	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
210	gasuns2026-14-glava2-03	glava2	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
211	gasuns2026-22-glava3-05	glava3	Д5	missing_context_of_hymn	minor	SKIP	R2	not_applicable
212	gasuns2026-22-glava3-05	glava3	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
213	gasuns2026-22-glava3-05	glava3	Д3	unsupported_reading	major	SOFTEN	R6	safe_apply
214	gasuns2026-22-glava3-05	glava3	Д2	logical_inconsistency	major	APPLY	R6	safe_apply
215	gasuns2026-25-zakl-01	zakl	Д4	missing_source	minor	SKIP	R3	human_judgment
216	gasuns2026-25-zakl-01	zakl	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
217	gasuns2026-25-zakl-01	zakl	Д4	missing_source	major	SKIP	R3	human_judgment
218	gasuns2026-25-zakl-01	zakl	Д4	missing_source	major	SKIP	R3	human_judgment
219	gasuns2026-27-art-omonim-01	art	Д3	weak_genre_framing	major	SOFTEN	R5	human_judgment
220	gasuns2026-27-art-omonim-01	art	Д1	missing_iast_on_first_mention	minor	APPLY	R5	human_judgment
221	gasuns2026-27-art-omonim-01	art	Д3	unsupported_semantization	info	SOFTEN	R1	already_addressed
222	gasuns2026-27-art-omonim-01	art	Д4	missing_source	minor	SKIP	R3	human_judgment
223	gasuns2026-27-art-omonim-01	art	Д4	missing_source	major	SKIP	R3	human_judgment
224	gasuns2026-04-obzor-01	obzor	Д5	missing_context_of_hymn	minor	SKIP	R2	not_applicable
225	gasuns2026-04-obzor-01	obzor	Д3	weak_genre_framing	minor	SOFTEN	R4	already_addressed
226	gasuns2026-04-obzor-01	obzor	Д3	weak_parallel	major	SOFTEN	R4	already_addressed
227	gasuns2026-04-obzor-01	obzor	Д4	vague_source	major	SKIP	R3	human_judgment
228	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
229	gasuns2026-06-obzor-03	obzor	Д5	missing_commentary_layer	minor	SKIP	R2	not_applicable
230	gasuns2026-06-obzor-03	obzor	Д4	missing_source	major	SKIP	R3	human_judgment
231	gasuns2026-06-obzor-03	obzor	Д2	logical_consistency	major	APPLY	R1	already_addressed
232	gasuns2026-10-glava1-03	glava1	Д5	missing_tradition_context	minor	SKIP	R2	not_applicable
233	gasuns2026-10-glava1-03	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
234	gasuns2026-10-glava1-03	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
235	gasuns2026-10-glava1-03	glava1	Д1	missing_iast_on_first_mention	minor	APPLY	R6	safe_apply
236	gasuns2026-10-glava1-03	glava1	Д4	missing_source	major	SKIP	R3	human_judgment
237	gasuns2026-12-glava2-01	glava2	Д5	missing_context_of_hymn	major	SKIP	R2	not_applicable
238	gasuns2026-12-glava2-01	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R1	already_addressed
239	gasuns2026-12-glava2-01	glava2	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
240	gasuns2026-12-glava2-01	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
241	gasuns2026-12-glava2-01	glava2	Д5	arbitrary_sound_change	minor	SKIP	R2	not_applicable
242	gasuns2026-14-glava2-03	glava2	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
243	gasuns2026-14-glava2-03	glava2	Д5	missing_authority_chain	major	SKIP	R2	not_applicable
244	gasuns2026-14-glava2-03	glava2	Д1	missing_iast_on_first_mention	major	APPLY	R4	already_addressed
245	gasuns2026-14-glava2-03	glava2	Д2	clarity_of_explanation	minor	APPLY	R4	already_addressed
246	gasuns2026-15-glava2-04	glava2	Д1	anachronistic_sanskrit_period	major	APPLY	R4	already_addressed
247	gasuns2026-15-glava2-04	glava2	Д1	mistranslated_native_term	major	APPLY	R4	already_addressed
248	gasuns2026-15-glava2-04	glava2	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
249	gasuns2026-15-glava2-04	glava2	Д3	unsupported_reading	minor	SOFTEN	R4	already_addressed
250	gasuns2026-21-glava3-04	glava3	Д1	missing_iast_on_first_mention	minor	APPLY	R1	already_addressed
251	gasuns2026-21-glava3-04	glava3	Д5	missing_commentary_layer	major	SKIP	R2	not_applicable
252	gasuns2026-21-glava3-04	glava3	Д3	unsupported_sanskrit_etymology	minor	SOFTEN	R6	safe_apply
253	gasuns2026-21-glava3-04	glava3	Д4	missing_source	major	SKIP	R3	human_judgment
254	gasuns2026-22-glava3-05	glava3	Д1	missing_iast_on_first_mention	major	APPLY	R6	safe_apply
255	gasuns2026-22-glava3-05	glava3	Д3	unsupported_semantization	info	SOFTEN	R6	safe_apply
256	gasuns2026-22-glava3-05	glava3	Д5	missing_tradition_context	major	SKIP	R2	not_applicable
257	gasuns2026-22-glava3-05	glava3	Д4	missing_source	major	SKIP	R3	human_judgment
258	gasuns2026-22-glava3-05	glava3	Д5	missing_apparatus	minor	SKIP	R2	not_applicable
259	gasuns2026-27-art-omonim-01	art	Д4	unattributed_commentary	major	SKIP	R3	human_judgment
260	gasuns2026-27-art-omonim-01	art	Д3	unsupported_semantization	minor	SOFTEN	R5	human_judgment
261	gasuns2026-27-art-omonim-01	art	Д5	missing_apparatus	minor	SKIP	R2	not_applicable
262	gasuns2026-27-art-omonim-01	art	Д2	logical_consistency	major	APPLY	R5	human_judgment
263	gasuns2026-04-obzor-01	obzor	Д1	missing_iast_on_first_mention	major	APPLY	R1	already_addressed
264	gasuns2026-04-obzor-01	obzor	Д3	weak_genre_framing	major	SOFTEN	R4	already_addressed
265	gasuns2026-04-obzor-01	obzor	Д1	mistranslated_native_term	major	APPLY	R1	already_addressed
266	gasuns2026-04-obzor-01	obzor	Д5	missing_commentary_layer	information	SKIP	R2	not_applicable
267	gasuns2026-06-obzor-03	obzor	Д1	missing_iast_on_first_mention	minor	APPLY	R4	already_addressed
268	gasuns2026-06-obzor-03	obzor	Д5	accidental_similarity	major	SKIP	R2	not_applicable
269	gasuns2026-06-obzor-03	obzor	Д3	weak_parallel	minor	SOFTEN	R4	already_addressed
270	gasuns2026-06-obzor-03	obzor	Д3	evidentiary_base	minor	SOFTEN	R4	already_addressed
