mw_L	root_iast	k1_slp1	verb_type	genuine	classes	dcs_freq	dcs_rank	n_dicts	whitney_anchor	westergaard
254599	stim	stim	root	0	4P	0		3	stim,192	1
254621	stīm	stIm	root	0	0	0		1		
254632	stu	stu	genuineroot	1	2P,2Ā	2204	62	4	stu1,193	1
254797	stuc	stuc	root	0	1Ā	0		0		1
254799	stubh	stuB	genuineroot	1	1P,1Ā	55	1751	2	stuB,193	1
254821	stumbh	stumB	root	0	5,9P	0		0		1
254826	stūp	stUp	root	0	4,10P	0		1		1
254842	stṛ	stf	genuineroot	1	5,9P,9Ā,5P,5Ā	334	501	2	stf,193	1
254868	stṛkṣ	stfkz	root	0	1P	0		0		1
254870	stṛh	stfh	root	0	6P	1	10214	0	stfh,193	1
254872	sten	sten	root	0	10P	0		6		1
254882	step	step	root	0	1Ā,10P	0		0		1
254884	stai	stE	root	0	1P	0		0	stA,192	1
254903	stom	stom	root	0		0		1		
254911	styai	styE	root	0	1P,1Ā	0		4	styA,194	1
255154	sthag	sTag	genuineroot	1	1P	0		1	sTag,193	1
255204	sthal	sTal	root	0	1P	0		3		1
255316	sthā	sTA	genuineroot	1	1P,1Ā	9268	12	5	sTA,194	1
255900	sthir	sTir	root	0	1P	0		0		
255907	sthuḍ	sTuq	root	0	6P	0		0		1
255910	sthū	sTU	root	0		0		2		
256003	sthūl	sTUl	root	0	10Ā,10P	0		2		1
256198	snas	snas	root	0	0	0		0		
256200	snā	snA	genuineroot	1	2P,4P,4Ā	1648	86	4	snA,195	1
256297	sniṭ	sniw	root	0	10P	0		0		1
256298	snih	snih	genuineroot	1	4P,1P,10P	125	1072	2	snih,195	1
256456	snu	snu	genuineroot	1	2P	3	6135	4	snu,195	1
256467	snuc	snuc	root	0	1Ā	0		0		
256474	snus	snus	root	0	4P	0		0		1
256475	snuh	snuh	root	0	4P	0		0		1
256486	snai	snE	root	0	1P	0		0		1
256488	spand	spand	genuineroot	1	1Ā	52	1809	4	spand,196	1
256521	spardh	sparD	genuineroot	1	1Ā,1P	0		2	spfD,196	1
256547	sparś	sparS	root	0	0	0		1		
256549	sparṣ	sparz	root	0	1Ā	0		0		
256550	spaś	spaS	genuineroot	1		0		3	paS1,95	
256581	spaś	spaS	root	0	1P,1Ā	0		3		1
256584	spaś	spaS	root	0	10P	0		3		1
256588	spṛ	spf	genuineroot	1	5P	160	899	2	spf,196	1
256602	spṛś	spfS	genuineroot	1	6P	1059	159	3	spfS,196	1
256712	spṛh	spfh	genuineroot	1	10P	34	2233	1	spfh,197	1
256737	spṝ	spF	root	0	9P	0		0		1
256740	sphaṭ	sPaw	root	0	1P,10P	0		1	sPaw,197	1
256784	sphaṇṭ	sPaRw	root	0		0		0		
256785	sphaṇḍ	sPaRq	root	0	10P	0		0		1
256786	sphar	sPar	root	0	6P	1	10204	2		
256804	sphal	sPal	root	0	1P	0		3	sPal,197	
256812	sphāy	sPAy	genuineroot	1	1Ā	0		6	sPA,197	1
256854	sphiṭ	sPiw	root	0	10P	0		0		1
256856	sphiṭṭ	sPiww	root	0	10P	0		0		1
256860	sphuṭ	sPuw	genuineroot	1	6P,1P,1Ā	154	919	5	sPuw,197	1
256961	sphuṭṭ	sPuww	root	0	10P	0		0		1
256962	sphuḍ	sPuq	root	0	6P	0		0		1
256963	sphuṇṭ	sPuRw	root	0	1P,10P	0		0		1
256964	sphuṇḍ	sPuRq	root	0	1Ā,10P	0		0		1
256968	sphur	sPur	genuineroot	1	6P	357	470	7	sPf,198	1
257014	sphurch	sPurC	root	0	0	0		0		
257014.1	sphurj	sPurj	root	0	0	0		2		
257015	sphul	sPul	genuineroot	1	6P	0		3		1
257027	sphūrch	sPUrC	root	0	1P	0		0		1
257031	sphūrj	sPUrj	root	0	1P	10	3725	2	sPUrj,198	1
257060	sbṝ	sbF	root	0	0	0		0		
257075	smi	smi	genuineroot	1	1Ā	227	692	3	smi,198	1
257109	smiṭ	smiw	root	0	10P	0		0		1
257110	smīl	smIl	root	0	0	0		0		
257112	smṛ	smf	genuineroot	1	1P,1Ā	4142	28	6	smf,199	1
257403	syand	syand	genuineroot	1	1Ā	106	1179	5	syand,199	1
257458	syam	syam	root	0	1P,10P,10Ā	0		0		1
257528	sraṃs	sraMs	genuineroot	1	1Ā	133	1021	2	sraMs,199	1
257563	sraṃh	sraMh	root	0	1Ā	0		0		1
257567	sraṅk	sraNk	root	0	0	0		0		
257602	srambh	sramB	root	0	0	0		1		
257614	sridh	sriD	root	0	1P	12	3462	0	sriD,200	
257616	sribh	sriB	root	0	1P	0		0		1
257618	sriv	sriv	genuineroot	1	4P	0		0	srIv,200	1
257621	sru	sru	genuineroot	1	1P	538	311	5	sru,200	1
257769	sruh	sruh	root	0		0		1		
257770	srek	srek	root	0	1Ā	0		0		1
257772	srai	srE	root	0	0	0		0		
258748	svaṅg	svaNg	root	0	1P	0		0		1
258776	svaj	svaj	genuineroot	1	1Ā	39	2101	1	svaj,200	1
258785	svaṭh	svaW	root	0	0	0		0		1
258787	svad	svad	genuineroot	1	1Ā,1P	81	1401	3	svad,201	1
258909	svan	svan	genuineroot	1	1P	19	2877	6	svan,201	1
258948	svap	svap	genuineroot	1	2P	1100	151	6	svap,201	1
259078	svar	svar	root	0	10P	39	2102	3		1
259079	svar	svar	root	0	1P	39	2102	3		
259408	svart	svart	root	0	0	0		0		
259410	svard	svard	root	0	1Ā	0		0		1
259490	svask	svask	root	0	0	0		0		
259802	svid	svid	genuineroot	1	1Ā,1P	369	460	6	svid,202	1
259867	svūrch	svUrC	root	0		0		0		
259868	svṛ	svf	genuineroot	1	1P	0		2	svar,201	1
260011	svṝ	svF	root	0	0	0		0		
260012	svek	svek	root	0		0		0		
260227	haṭ	haw	root	0	1P	0		1		1
260241	haṭh	haW	root	0	1P	0		0		1
260291	had	had	genuineroot	1	1P,1Ā	0		1	had,202	1
260297	han	han	genuineroot	1	2P,2Ā,1	8744	14	7	han,202	1
260557	hamm	hamm	root	0	1P	0		0		1
260560	hay	hay	root	0	1P	0		1		1
261643	hary	hary	genuineroot	1	1P,1Ā	0		3		1
261758	hal	hal	root	0	1P	0		2		1
262056	has	has	genuineroot	1	1P	419	407	8	has,203	1
262501	hā	hA	genuineroot	1	3Ā	2739	44	5	hA2,204	1
262507	hā	hA	genuineroot	1	3P,1	2739	44	5	hA1,204;hA2,204	1
262717	hi	hi	genuineroot	1	5P,5Ā	224	699	6	hi,205	1
262731	hiṃs	hiMs	genuineroot	1	1,7P,7Ā,10P	788	212	2	hiMs,205	1
262789	hikk	hikk	root	0	1P,1Ā	2	6756	0	hikk,205	1
262838	hiṭ	hiw	root	0	0	0		0		
262850	hiṇḍ	hiRq	root	0	1Ā	2	6757	1	hiRq,205	1
262947	hinv	hinv	root	0	0	0		0		
263382	hil	hil	root	0	6P	0		1		1
263401	hiṣk	hizk	root	0	0	0		0		
263406	hīḍ	hIq	genuineroot	1	0P,0Ā	29	2371	1	hIq,206	
263443	hu	hu	genuineroot	1	3P,3Ā	6418	17	8	hu,206	1
263507	huḍ	huq	root	0	6P,1P	0		0		1
263529	huṇḍ	huRq	root	0	1Ā	0		1		1
263569	hurch	hurC	root	0	1P	0		1	hUrC,207	1
263577	hul	hul	root	0	1P	0		2		1
263608	hūḍ	hUq	root	0	1P	0		0		1
263626	hṛ	hf	genuineroot	1	1P,1Ā	2792	42	6	hf1,207	1
263654	hṛ	hf	genuineroot	1	9Ā	2792	42	6	hf2,207	
263655	hṛṇāya	hfRAya	root	0		0		0		
263915	hṛṣ	hfz	genuineroot	1	1P,1Ā,4P	1147	139	3	hfz,208	1
263975	heṭh	heW	root	0	1P,1Ā,9P	0		3	heW,208	1
263977	heḍ	heq	root	0	1Ā,1P	0		2	hIq,206	1
263989	heḍh	heQ	root	0	9P	0		0		
264383	hel	hel	root	0		0		3		
264415	heṣ	hez	genuineroot	1	1Ā	26	2497	2	hez,208	1
264470	hoḍ	hoq	root	0	1Ā	0		2		1
264639	hauḍ	hOq	root	0		0		0		
264643	hnu	hnu	genuineroot	1	2Ā	6	4475	4	hnu,208	1
264650	hmal	hmal	root	0	1P	0		2		1
264662	hrag	hrag	root	0	1P	0		0		1
264680	hrap	hrap	root	0	0	0		0		
264681	hras	hras	genuineroot	1	1P,1Ā	28	2410	2	hras,208	1
264747	hrād	hrAd	genuineroot	1	1Ā	0		5	hrAd,209	1
264772	hrī	hrI	genuineroot	1	3P	28	2411	4	hrI,209	1
264801	hrīch	hrIC	root	0	1P	0		0		1
264806	hru	hru	root	0	9P	0		2	hvf,210	
264809	hruḍ	hruq	root	0	1P,1Ā	0		0		1
264814	hrep	hrep	root	0	1Ā	0		0		1
264815	hreṣ	hrez	genuineroot	1	1Ā,1P	2	6758	0	hrez,209	1
264821	hrauḍ	hrOq	root	0	1P	0		0		1
264823	hlag	hlag	genuineroot	1	1Ā	0		0		1
264825	hlap	hlap	root	0	10P	0		0		1
264826	hlas	hlas	root	0	1P	0		0		1
264827	hlād	hlAd	genuineroot	1	1Ā	3	5819	4	hlAd,209	1
264858	hval	hval	genuineroot	1	1P	13	3302	2	hval,209	1
264863	hvṛ	hvf	genuineroot	1	1P,1Ā	48	1878	3	hvf,210	1
264875	hve	hve	genuineroot	1	1P,1Ā	0		3	hU,206	1
